example_key,drug_set,condition_id_norm,source_label_binary,source_file,drug_labels,condition_label
CHEBI:145994|CHEBI:95341||UMLS:C0748061,"['CHEBI:145994', 'CHEBI:95341']",UMLS:C0748061,1,indications,"['Baricitinib', 'Remdesivir']",psychiatric hospitalization
UNII:1KUR4BN70F|UNII:F0LZ415Z3B||UNII:JSV288Q5CV,"['UNII:1KUR4BN70F', 'UNII:F0LZ415Z3B']",UNII:JSV288Q5CV,1,indications,"['Cilgavimab', 'Tixagevimab']",Famtozinameran
UNII:1KUR4BN70F|UNII:F0LZ415Z3B||MONDO:0005821,"['UNII:1KUR4BN70F', 'UNII:F0LZ415Z3B']",MONDO:0005821,1,indications,"['Tixagevimab', 'Cilgavimab']",late congenital syphilis
DRUGBANK:DB12768|DRUGBANK:DB16479|DRUGBANK:DB18740||MONDO:0004641,"['DRUGBANK:DB12768', 'DRUGBANK:DB16479', 'DRUGBANK:DB18740']",MONDO:0004641,1,indications,"['Nogapendekin alfa', 'Inbakicept', 'BCG vaccine']",skin carcinoma in situ
CHEBI:31355|CHEBI:63616|UNII:0JSR7Z0NB6||UMLS:C5395609,"['CHEBI:31355', 'CHEBI:63616', 'UNII:0JSR7Z0NB6']",UMLS:C5395609,1,indications,"['Amivantamab', 'Pemetrexed', 'Carboplatin']",Treatment naive
CHEBI:175901|CHEBI:27899|UNII:8JXN261VVA||MONDO:0015459,"['CHEBI:175901', 'CHEBI:27899', 'UNII:8JXN261VVA']",MONDO:0015459,1,indications,"['Toripalimab', 'Gemcitabine', 'Cisplatin']",nasopharyngeal carcinoma
CHEBI:32234|CHEBI:36560|DRUGBANK:DB11111|UNII:NQ14646378||NCIT:C111970,"['CHEBI:32234', 'CHEBI:36560', 'DRUGBANK:DB11111', 'UNII:NQ14646378']",NCIT:C111970,1,indications,"['Titanium dioxide', 'Zinc oxide', 'Ichthammol', 'Witch hazel']",Bulla
CHEBI:2676|CHEBI:48947||MONDO:0005230,"['CHEBI:2676', 'CHEBI:48947']",MONDO:0005230,1,indications,"['Amoxicillin', 'Clavulanic acid']",cellulitis
CHEBI:140628|CHEBI:46081||MONDO:0002026,"['CHEBI:140628', 'CHEBI:46081']",MONDO:0002026,1,indications,"['Secnidazole', 'Fluconazole']",candidiasis
CHEBI:134743|CHEBI:63580|UNII:G8RGG88B68||UMLS:C4049392,"['CHEBI:134743', 'CHEBI:63580', 'UNII:G8RGG88B68']",UMLS:C4049392,1,indications,"['Simeprevir', 'Peginterferon alfa-2b', 'Ribavirin']",Chronic hepatitis C genotype 1
CHEBI:27732|CHEBI:46195|UNII:N667F17JP1||NCIT:C27003,"['CHEBI:27732', 'CHEBI:46195', 'UNII:N667F17JP1']",NCIT:C27003,1,indications,"['Caffeine', 'Acetaminophen', 'Carbaspirin calcium']",Acute Pain
CHEBI:5134|CHEBI:5147||MONDO:0004979,"['CHEBI:5134', 'CHEBI:5147']",MONDO:0004979,1,indications,"['Fluticasone', 'Formoterol']",asthma
CHEBI:47381|CHEBI:9654||UMLS:C0234251,"['CHEBI:47381', 'CHEBI:9654']",UMLS:C0234251,1,indications,"['Trazodone', 'Diclofenac']",Inflammatory pain
CHEBI:36560|PUBCHEM.COMPOUND:122173976||MONDO:0002406,"['CHEBI:36560', 'PUBCHEM.COMPOUND:122173976']",MONDO:0002406,1,indications,"['Talc', 'Zinc oxide']",dermatitis
CHEBI:17650|CHEBI:74460||UMLS:C0033775,"['CHEBI:17650', 'CHEBI:74460']",UMLS:C0033775,1,indications,"['Clioquinol', 'Hydrocortisone']",Pruritus Ani
CHEBI:16336|CHEBI:17754|UNII:K679OBS311||NCIT:C187286,"['CHEBI:16336', 'CHEBI:17754', 'UNII:K679OBS311']",NCIT:C187286,1,indications,"['Hyaluronic acid', 'Glycerin', 'Carboxymethylcellulose Sodium']",Eye Irritation
CHEBI:2549|CHEBI:5551||MONDO:0004979,"['CHEBI:2549', 'CHEBI:5551']",MONDO:0004979,1,indications,"['Albuterol', 'Guaifenesin']",asthma
CHEBI:17650|CHEBI:36560|CHEBI:6456|UNII:FGL8577C9S||UMLS:C0033775,"['CHEBI:17650', 'CHEBI:36560', 'CHEBI:6456', 'UNII:FGL8577C9S']",UMLS:C0033775,1,indications,"['Aluminum subacetate', 'Zinc oxide', 'Lidocaine', 'Hydrocortisone']",Pruritus Ani
CHEBI:31397|UNII:9810NUL4D1||MONDO:0004979,"['CHEBI:31397', 'UNII:9810NUL4D1']",MONDO:0004979,1,indications,"['Ciclesonide', 'Carmoterol']",asthma
CHEBI:15409|CHEBI:31832|CHEBI:4917|CHEBI:8249||MONDO:0021167,"['CHEBI:15409', 'CHEBI:31832', 'CHEBI:4917', 'CHEBI:8249']",MONDO:0021167,1,indications,"['Methyl salicylate', 'Levomenthol', 'Piroxicam', 'Eugenol']",myositis
CHEBI:68575|CHEBI:90972||MONDO:0005002,"['CHEBI:68575', 'CHEBI:90972']",MONDO:0005002,1,indications,"['Indacaterol', 'GLYCOPYRROLATE']",chronic obstructive pulmonary disease
CHEBI:66901|UNII:8RW88Y506K|UNII:RRN67GMB0V||MONDO:0009061,"['CHEBI:66901', 'UNII:8RW88Y506K', 'UNII:RRN67GMB0V']",MONDO:0009061,1,indications,"['Tezacaftor', 'Elexacaftor', 'Ivacaftor']",cystic fibrosis
CHEBI:5134|CHEBI:75037|UNII:GE2T1418SV||MONDO:0005002,"['CHEBI:5134', 'CHEBI:75037', 'UNII:GE2T1418SV']",MONDO:0005002,1,indications,"['Fluticasone', 'Vilanterol', 'Umeclidinium']",chronic obstructive pulmonary disease
CHEBI:66901|UNII:8RW88Y506K|UNII:RRN67GMB0V||MONDO:0009061,"['CHEBI:66901', 'UNII:8RW88Y506K', 'UNII:RRN67GMB0V']",MONDO:0009061,1,indications,"['Ivacaftor', 'Elexacaftor', 'Tezacaftor']",cystic fibrosis
CHEBI:2950|CHEBI:5134||MONDO:0005091,"['CHEBI:2950', 'CHEBI:5134']",MONDO:0005091,1,indications,"['Azelastine', 'Fluticasone']",severe acute respiratory syndrome
CHEBI:5134|CHEBI:9012||MONDO:0005002,"['CHEBI:5134', 'CHEBI:9012']",MONDO:0005002,1,indications,"['Salmeterol xinafoate', 'Fluticasone']",chronic obstructive pulmonary disease
CHEBI:5147|CHEBI:90972||MONDO:0005002,"['CHEBI:5147', 'CHEBI:90972']",MONDO:0005002,1,indications,"['Formoterol', 'GLYCOPYRROLATE']",chronic obstructive pulmonary disease
CHEBI:135222|CHEBI:8093||MONDO:0005441,"['CHEBI:135222', 'CHEBI:8093']",MONDO:0005441,1,indications,"['Dimetindene', 'Phenylephrine']",otitis media
CHEBI:22652|CHEBI:46195|CHEBI:8093||MONDO:0005002,"['CHEBI:22652', 'CHEBI:46195', 'CHEBI:8093']",MONDO:0005002,1,indications,"['Phenylephrine', 'Ascorbic acid', 'Acetaminophen']",chronic obstructive pulmonary disease
CHEBI:17650|CHEBI:17650|CHEBI:7507||MONDO:0004773,"['CHEBI:17650', 'CHEBI:17650', 'CHEBI:7507']",MONDO:0004773,1,indications,"['Hydrocortisone', 'Framycetin', 'Hydrocortisone']",iridocyclitis
CHEBI:51209|CHEBI:5551|CHEBI:84116||UMLS:C0152029,"['CHEBI:51209', 'CHEBI:5551', 'CHEBI:84116']",UMLS:C0152029,1,indications,"['Pseudoephedrine', 'Triprolidine', 'Guaifenesin']",Congestion of nasal sinus (disorder)
CHEBI:2676|CHEBI:3732|CHEBI:6375||MONDO:0005412,"['CHEBI:2676', 'CHEBI:3732', 'CHEBI:6375']",MONDO:0005412,1,indications,"['Lansoprazole', 'Amoxicillin', 'Clarithromycin']",duodenal ulcer
CHEBI:17754|CHEBI:18145|CHEBI:28125|CHEBI:28364|DRUGBANK:DB14233||MONDO:0005137,"['CHEBI:17754', 'CHEBI:18145', 'CHEBI:28125', 'CHEBI:28364', 'DRUGBANK:DB14233']",MONDO:0005137,1,indications,"['Egg phospholipids', 'Vitamin E', 'Doconexent', 'Glycerin', 'Icosapent']",malnutrition
CHEBI:16469|CHEBI:6443||HP:0000869,"['CHEBI:16469', 'CHEBI:6443']",HP:0000869,1,indications,"['Estradiol', 'Levonorgestrel']",Secondary amenorrhea
CHEBI:28939|CHEBI:94714||MONDO:0100470,"['CHEBI:28939', 'CHEBI:94714']",MONDO:0100470,1,indications,"['Doxofylline', 'Acetylcysteine']",reactive airway disease
CHEBI:46195|CHEBI:76128||NCIT:C3244,"['CHEBI:46195', 'CHEBI:76128']",NCIT:C3244,1,indications,"['Acetaminophen', 'Dexketoprofen']",Musculoskeletal Pain
CHEBI:134761|CHEBI:16914||NCIT:C3244,"['CHEBI:134761', 'CHEBI:16914']",NCIT:C3244,1,indications,"['Salicylic acid', 'Methyl nicotinate']",Musculoskeletal Pain
CHEBI:46195|CHEBI:52010|CHEBI:8093||MONDO:0024355,"['CHEBI:46195', 'CHEBI:52010', 'CHEBI:8093']",MONDO:0024355,1,indications,"['chlorphenamine', 'Phenylephrine', 'Acetaminophen']",respiratory tract infectious disorder
CHEBI:2682|CHEBI:5100||MONDO:0042233,"['CHEBI:2682', 'CHEBI:5100']",MONDO:0042233,1,indications,"['Flucytosine', 'Amphotericin B']",disseminated candidiasis
CHEBI:31498|UNII:6V88E24N5T||MONDO:0004966,"['CHEBI:31498', 'UNII:6V88E24N5T']",MONDO:0004966,1,indications,"['Dimethicone', 'Magaldrate']",gastritis
CHEBI:12777|CHEBI:133538|CHEBI:15414|CHEBI:15956|CHEBI:16414|CHEBI:16708|CHEBI:16811|CHEBI:16828|CHEBI:16908|CHEBI:17561|CHEBI:17895|CHEBI:17933|CHEBI:18385|CHEBI:195544|CHEBI:22652|CHEBI:26078|CHEBI:26709||MONDO:0001711,"['CHEBI:12777', 'CHEBI:133538', 'CHEBI:15414', 'CHEBI:15956', 'CHEBI:16414', 'CHEBI:16708', 'CHEBI:16811', 'CHEBI:16828', 'CHEBI:16908', 'CHEBI:17561', 'CHEBI:17895', 'CHEBI:17933', 'CHEBI:18385', 'CHEBI:195544', 'CHEBI:22652', 'CHEBI:26078', 'CHEBI:26709']",MONDO:0001711,1,indications,"['Racemethionine', 'Aspartame', 'Cysteine', 'Calcifediol', 'Thiamine', 'Valine', 'Ascorbic acid', 'Adenine', 'Ademetionine', 'Sodium bisulfite', 'Phosphoric acid', 'Tyrosine', 'Tryptophan', 'Biotin', 'NADH', 'Lysine', 'Vitamin A']",hepatic encephalopathy
CHEBI:15365|CHEBI:27732|CHEBI:46195||HP:0003326,"['CHEBI:15365', 'CHEBI:27732', 'CHEBI:46195']",HP:0003326,1,indications,"['Acetaminophen', 'Aspirin', 'Caffeine']",Myalgia
CHEBI:15409|CHEBI:27961|CHEBI:31832|CHEBI:36773||HP:0003326,"['CHEBI:15409', 'CHEBI:27961', 'CHEBI:31832', 'CHEBI:36773']",HP:0003326,1,indications,"['camphor', 'Eucalyptol', 'Methyl salicylate', 'Levomenthol']",Myalgia
CHEBI:15409|CHEBI:18145|CHEBI:46936|CHEBI:86541||HP:0003326,"['CHEBI:15409', 'CHEBI:18145', 'CHEBI:46936', 'CHEBI:86541']",HP:0003326,1,indications,"['Levomenthol', 'Nonivamide', 'Glycol salicylate', 'Vitamin E']",Myalgia
CHEBI:134718|CHEBI:15765|CHEBI:39585||MONDO:0014231,"['CHEBI:134718', 'CHEBI:15765', 'CHEBI:39585']",MONDO:0014231,1,indications,"['Safinamide', 'Carbidopa', 'Levodopa']",juvenile onset Parkinson disease 19A
CHEBI:17698|CHEBI:41879||MONDO:0005041,"['CHEBI:17698', 'CHEBI:41879']",MONDO:0005041,1,indications,"['Dexamethasone', 'Chloramphenicol']",glaucoma
CHEBI:15765|CHEBI:39585|CHEBI:9086||MONDO:0014231,"['CHEBI:15765', 'CHEBI:39585', 'CHEBI:9086']",MONDO:0014231,1,indications,"['Selegiline', 'Carbidopa', 'Levodopa']",juvenile onset Parkinson disease 19A
DRUGBANK:DB09876|DRUGBANK:DB09877|DRUGBANK:DB10795|DRUGBANK:DB10796|DRUGBANK:DB10797|DRUGBANK:DB11627|UNII:63GD90PP8X|UNII:63GD90PP8X|UNII:63GD90PP8X||MONDO:0005526,"['DRUGBANK:DB09876', 'DRUGBANK:DB09877', 'DRUGBANK:DB10795', 'DRUGBANK:DB10796', 'DRUGBANK:DB10797', 'DRUGBANK:DB11627', 'UNII:63GD90PP8X', 'UNII:63GD90PP8X', 'UNII:63GD90PP8X']",MONDO:0005526,1,indications,"['pertactin', 'Poliovirus type 2 antigen (formaldehyde inactivated)', 'Tetanus Toxoid', 'pertactin', 'Corynebacterium diphtheriae', 'Poliovirus type 3 antigen (formaldehyde inactivated)', 'pertactin', 'Poliovirus type 1 antigen (formaldehyde inactivated)', 'Hepatitis B Vaccine (Recombinant)']",tetanus
CHEBI:17548|CHEBI:81862||MONDO:0007186,"['CHEBI:17548', 'CHEBI:81862']",MONDO:0007186,1,indications,"['Potassium bicarbonate', 'Alginic acid']",Heartburn
CHEBI:2955|CHEBI:575568||MONDO:0005661,"['CHEBI:2955', 'CHEBI:575568']",MONDO:0005661,1,indications,"['Atovaquone', 'Azithromycin']",babesiosis
CHEBI:18258|CHEBI:18332||MONDO:0006742,"['CHEBI:18258', 'CHEBI:18332']",MONDO:0006742,1,indications,"['Liothyronine', 'Levothyroxine']",endemic goiter
CHEBI:17754|CHEBI:26710|CHEBI:28757||MONDO:0006684,"['CHEBI:17754', 'CHEBI:26710', 'CHEBI:28757']",MONDO:0006684,1,indications,"['Glycerin', 'fructose', 'Sodium chloride']",brain edema
CHEBI:135538|CHEBI:22652|CHEBI:46195||NCIT:C78640,"['CHEBI:135538', 'CHEBI:22652', 'CHEBI:46195']",NCIT:C78640,1,indications,"['Acetaminophen', 'Ascorbic acid', 'Propyphenazone']",toothache
CHEBI:16914|CHEBI:34764||UMLS:C5441647,"['CHEBI:16914', 'CHEBI:34764']",UMLS:C5441647,1,indications,"['Salicylic acid', 'Flumethasone']",lichen planopilaris
CHEBI:16914|DRUGBANK:DB10651||UMLS:C0240382,"['CHEBI:16914', 'DRUGBANK:DB10651']",UMLS:C0240382,1,indications,"['Rhubarb', 'Salicylic acid']",Mouth swelling
CHEBI:134719|CHEBI:6909|CHEBI:9421||MONDO:0002337,"['CHEBI:134719', 'CHEBI:6909', 'CHEBI:9421']",MONDO:0002337,1,indications,"['Ceftolozane', 'Metronidazole', 'Tazobactam']",intra-abdominal hemangioma
CHEBI:9620|CHEBI:9661||MONDO:0004678,"['CHEBI:9620', 'CHEBI:9661']",MONDO:0004678,1,indications,"['Tolnaftate', 'Triacetin']",dermatophytosis
CHEBI:3219|CHEBI:7465||MONDO:0011122,"['CHEBI:3219', 'CHEBI:7465']",MONDO:0011122,1,indications,"['Naltrexone', 'Bupropion']",obesity
