example_key,drug_set,condition_id_norm,source_label_binary,source_file,drug_labels,condition_label,mechanism_category,mechanism_confidence,needs_human_review,rationale_short,llm_model,prompt_version,classified_at_utc
CHEBI:52010|PUBCHEM.COMPOUND:4786||MONDO:0005709,"['CHEBI:52010', 'PUBCHEM.COMPOUND:4786']",MONDO:0005709,1,indications,"['chlorphenamine', 'Phenylpropanolamine']",common cold,mechanistically_synergistic,0.85,False,Chlorphenamine is an antihistamine and Phenylpropanolamine is a decongestant; both target symptoms of common cold synergistically.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:4470|CHEBI:5551|CHEBI:8093||MONDO:0005709,"['CHEBI:4470', 'CHEBI:5551', 'CHEBI:8093']",MONDO:0005709,1,indications,"['Phenylephrine', 'Guaifenesin', 'Dextromethorphan']",common cold,mechanistically_synergistic,0.9,False,"Phenylephrine (decongestant), Guaifenesin (expectorant), and Dextromethorphan (cough suppressant) are commonly combined to treat symptoms of the common cold through complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:15409|CHEBI:8378|UNII:5EL163606Q|UNII:NQ14646378||MONDO:0004872,"['CHEBI:15409', 'CHEBI:8378', 'UNII:5EL163606Q', 'UNII:NQ14646378']",MONDO:0004872,1,indications,"['Prednisolone', 'Ichthammol', 'Carvasept', 'Levomenthol']",hemorrhoid,side_effect_relief,0.85,False,"Prednisolone treats hemorrhoids via anti-inflammatory effects; Ichthammol, Carvasept, and Levomenthol provide symptomatic relief, reducing side effects like pain and irritation.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:31498|CHEBI:4514||MONDO:0005725,"['CHEBI:31498', 'CHEBI:4514']",MONDO:0005725,1,indications,"['Dicyclomine', 'Dimethicone']",cyclosporiasis,other,0.7,True,Dicyclomine is an antispasmodic and Dimethicone is an anti-foaming agent; their joint use for cyclosporiasis is unclear and not mechanistically synergistic or clearly for side effect relief.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:18332|CHEBI:8346||MONDO:0002108,"['CHEBI:18332', 'CHEBI:8346']",MONDO:0002108,1,indications,"['Potassium Iodide', 'Levothyroxine']",thyroid cancer,mechanistically_synergistic,0.85,False,"Levothyroxine treats thyroid hormone deficiency post-thyroidectomy; potassium iodide used to protect thyroid or in preparation for treatment, both related to thyroid cancer management.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:31498|CHEBI:4514||MONDO:0005725,"['CHEBI:31498', 'CHEBI:4514']",MONDO:0005725,1,indications,"['Dimethicone', 'Dicyclomine']",cyclosporiasis,other,0.7,True,Dicyclomine is an antispasmodic and Dimethicone is an anti-foaming agent; their joint use for cyclosporiasis is unclear and not mechanistically synergistic or clearly for side effect relief.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:46195|CHEBI:51209||UMLS:C0264222,"['CHEBI:46195', 'CHEBI:51209']",UMLS:C0264222,1,indications,"['Acetaminophen', 'Pseudoephedrine']",Acute upper respiratory infection,mechanistically_synergistic,0.9,False,"Acetaminophen reduces fever and pain, pseudoephedrine relieves nasal congestion; both target symptoms of acute upper respiratory infection.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:30769|CHEBI:4470|CHEBI:4636||MONDO:0005271,"['CHEBI:30769', 'CHEBI:4470', 'CHEBI:4636']",MONDO:0005271,1,indications,"['Citric acid', 'Diphenhydramine', 'Dextromethorphan']",Allergy,mechanistically_synergistic,0.85,False,Diphenhydramine (antihistamine) and Dextromethorphan (cough suppressant) are used together to treat allergy symptoms; Citric acid may be an excipient or minor component.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:32219|CHEBI:4470|CHEBI:8093||MONDO:0005271,"['CHEBI:32219', 'CHEBI:4470', 'CHEBI:8093']",MONDO:0005271,1,indications,"['Thonzylamine hydrochloride', 'Dextromethorphan', 'Phenylephrine']",Allergy,mechanistically_synergistic,0.85,False,"Thonzylamine hydrochloride (antihistamine), Dextromethorphan (cough suppressant), and Phenylephrine (decongestant) are commonly combined to treat allergy symptoms synergistically.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:22652|CHEBI:3183||MONDO:0005271,"['CHEBI:22652', 'CHEBI:3183']",MONDO:0005271,1,indications,"['Brompheniramine', 'Ascorbic acid']",Allergy,mechanistically_synergistic,0.85,False,"Brompheniramine is an antihistamine used to treat allergy symptoms; ascorbic acid (vitamin C) may support immune function and reduce allergy severity, suggesting complementary mechanisms for allergy treatment.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:36773|UNII:2R04ONI662||UMLS:C0281856,"['CHEBI:36773', 'UNII:2R04ONI662']",UMLS:C0281856,1,indications,"['Eucalyptus oil', 'camphor']",Generalized aches and pains,mechanistically_synergistic,0.8,False,Both eucalyptus oil and camphor are topical agents used to relieve generalized aches and pains through analgesic and counterirritant effects.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:62984|CHEBI:8357||NCIT:C121616,"['CHEBI:62984', 'CHEBI:8357']",NCIT:C121616,1,indications,"['Zinc acetate', 'Pramocaine']",Wound Discharge,side_effect_relief,0.85,False,"Pramocaine is a local anesthetic that can relieve pain and irritation in wounds, while zinc acetate may promote healing; combined use addresses symptoms and healing in wound discharge.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:83766|UNII:2S9ZZM9Q9V||UMLS:C0863127,"['CHEBI:83766', 'UNII:2S9ZZM9Q9V']",UMLS:C0863127,1,indications,"['Olaparib', 'Bevacizumab']",Chemotherapy-Related Leukemia,mechanistically_synergistic,0.9,False,Olaparib and Bevacizumab are combined to enhance therapeutic effect in chemotherapy-related leukemia by targeting cancer pathways.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:16684|CHEBI:251408||HP:0002791,"['CHEBI:16684', 'CHEBI:251408']",HP:0002791,1,indications,"['Edrophonium', 'Atropine']",Hypoventilation,mechanistically_synergistic,0.9,False,"Edrophonium increases acetylcholine to stimulate respiration; atropine counteracts muscarinic side effects, jointly addressing hypoventilation.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:16709|CHEBI:51380||HP:0002018,"['CHEBI:16709', 'CHEBI:51380']",HP:0002018,1,indications,"['Doxylamine', 'Pyridoxine']",Nausea,mechanistically_synergistic,0.9,False,"Doxylamine and pyridoxine are commonly combined to treat nausea, especially in pregnancy, targeting the symptom synergistically.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:41879|CHEBI:7507|CHEBI:8310||UMLS:C0015404,"['CHEBI:41879', 'CHEBI:7507', 'CHEBI:8310']",UMLS:C0015404,1,indications,"['Dexamethasone', 'Framycetin', 'Polymyxin B']","Eye Infections, Bacterial",mechanistically_synergistic,0.9,False,"Dexamethasone is an anti-inflammatory steroid, while Framycetin and Polymyxin B are antibiotics; combined use targets bacterial eye infections by reducing inflammation and killing bacteria.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:2668|CHEBI:38545||UMLS:C0522060,"['CHEBI:2668', 'CHEBI:38545']",UMLS:C0522060,1,indications,"['Amlodipine', 'Rosuvastatin']",Inadequate food diet,common_comorbidity,0.85,False,"Amlodipine (antihypertensive) and Rosuvastatin (lipid-lowering) are often co-prescribed due to cardiovascular comorbidities, not directly for inadequate food diet.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:85994|UNII:DPT0O3T46P||NCIT:C137827,"['CHEBI:85994', 'UNII:DPT0O3T46P']",NCIT:C137827,1,indications,"['Lenvatinib', 'Pembrolizumab']",Mismatch Repair Protein Deficiency,mechanistically_synergistic,0.9,False,"Lenvatinib and Pembrolizumab are used together to target cancer mechanisms, including mismatch repair deficiency, enhancing therapeutic effect.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:3508|CHEBI:6909|CHEBI:85982||MONDO:0018944,"['CHEBI:3508', 'CHEBI:6909', 'CHEBI:85982']",MONDO:0018944,1,indications,"['Metronidazole', 'Ceftazidime', 'avibactam sodium']",gestational trophoblastic neoplasm,other,0.7,True,"Metronidazole, ceftazidime, and avibactam sodium are antibiotics; gestational trophoblastic neoplasm is a tumor, not primarily treated with these antibiotics; unclear mechanistic synergy or side effect relief.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
DRUGBANK:DB00028|PUBCHEM.COMPOUND:91820602||HP:0005363,"['DRUGBANK:DB00028', 'PUBCHEM.COMPOUND:91820602']",HP:0005363,1,indications,"['Human immunoglobulin G', 'Hyaluronidase']",Humoral immunodeficiency,mechanistically_synergistic,0.9,False,"Human immunoglobulin G treats humoral immunodeficiency; hyaluronidase enhances its tissue penetration, jointly targeting the disease.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:177836|CHEBI:27375|CHEBI:28748|UNII:7XL5ISS668||UMLS:C0855068,"['CHEBI:177836', 'CHEBI:27375', 'CHEBI:28748', 'UNII:7XL5ISS668']",UMLS:C0855068,1,indications,"['Adcetris', 'Doxorubicin', 'Vinblastine', 'Dacarbazine']",Rhabdomyosarcoma previously untreated,mechanistically_synergistic,0.9,False,"All drugs are chemotherapeutic agents commonly combined to treat rhabdomyosarcoma, indicating joint targeting of the disease.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:5778|CHEBI:9241||NCIT:C162704,"['CHEBI:5778', 'CHEBI:9241']",NCIT:C162704,1,indications,"['Hydrochlorothiazide', 'Spironolactone']",No Response to Treatment,mechanistically_synergistic,0.9,False,Hydrochlorothiazide and Spironolactone are diuretics often combined to enhance therapeutic effect by targeting fluid retention mechanisms relevant to treatment resistance.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:133021|CHEBI:76612||UMLS:C5395609,"['CHEBI:133021', 'CHEBI:76612']",UMLS:C5395609,1,indications,"['Ibrutinib', 'Venetoclax']",Treatment naive,mechanistically_synergistic,0.9,False,"Ibrutinib and Venetoclax are used together to treat certain leukemias by targeting complementary pathways, showing mechanistic synergy.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:8232|CHEBI:9421||UMLS:C0694549,"['CHEBI:8232', 'CHEBI:9421']",UMLS:C0694549,1,indications,"['Piperacillin', 'Tazobactam']",Community-Acquired Pneumonia,mechanistically_synergistic,0.95,False,Piperacillin and Tazobactam are combined to enhance antibacterial spectrum against pneumonia pathogens.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:41423|CHEBI:75722||UniProtKB:A0A8D0SEZ5,"['CHEBI:41423', 'CHEBI:75722']",UniProtKB:A0A8D0SEZ5,1,indications,"['Celecoxib', 'Tramadol']",A0A8D0SEZ5_PIG NOVA alternative splicing regulator 1 (trembl),other,0.6,True,Celecoxib is an NSAID and Tramadol is an analgesic; their combination may be for pain management but no direct mechanistic synergy for the specific protein disease target is evident.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:66964|CHEBI:69478||UMLS:C0278139,"['CHEBI:66964', 'CHEBI:69478']",UMLS:C0278139,1,indications,"['Cannabidiol', 'Dronabinol']",Moderate pain,mechanistically_synergistic,0.9,False,"Both Cannabidiol and Dronabinol are cannabinoids used to treat moderate pain, likely acting synergistically on pain mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:3485|CHEBI:48947||MONDO:0021201,"['CHEBI:3485', 'CHEBI:48947']",MONDO:0021201,1,indications,"['Cefdinir', 'Clavulanic acid']",skin infection,mechanistically_synergistic,0.95,False,Cefdinir is a cephalosporin antibiotic and clavulanic acid is a beta-lactamase inhibitor; combined they target bacterial infections including skin infections.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:3614|CHEBI:5130||UMLS:C0852882,"['CHEBI:3614', 'CHEBI:5130']",UMLS:C0852882,1,indications,"['Chlorhexidine', 'Flurbiprofen']",Radiation mucositis,mechanistically_synergistic,0.85,False,Chlorhexidine is an antiseptic and Flurbiprofen is an NSAID; both can be used together to treat inflammation and infection in radiation mucositis.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:15366|CHEBI:17650||MONDO:0004795,"['CHEBI:15366', 'CHEBI:17650']",MONDO:0004795,1,indications,"['Hydrocortisone', 'Acetic acid']",otitis externa,other,0.6,True,Hydrocortisone is used to reduce inflammation in otitis externa; acetic acid acts as an antimicrobial. Their combination targets different aspects but not clearly synergistic mechanisms.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:145994|CHEBI:95341||UMLS:C0748061,"['CHEBI:145994', 'CHEBI:95341']",UMLS:C0748061,1,indications,"['Baricitinib', 'Remdesivir']",psychiatric hospitalization,other,0.6,True,"Baricitinib and Remdesivir are primarily used for COVID-19, not psychiatric hospitalization; unclear mechanistic synergy or comorbidity.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
UNII:1KUR4BN70F|UNII:F0LZ415Z3B||UNII:JSV288Q5CV,"['UNII:1KUR4BN70F', 'UNII:F0LZ415Z3B']",UNII:JSV288Q5CV,1,indications,"['Cilgavimab', 'Tixagevimab']",Famtozinameran,mechanistically_synergistic,0.9,False,"Cilgavimab and Tixagevimab are monoclonal antibodies used together for COVID-19 prophylaxis, targeting the same disease mechanism.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
UNII:1KUR4BN70F|UNII:F0LZ415Z3B||MONDO:0005821,"['UNII:1KUR4BN70F', 'UNII:F0LZ415Z3B']",MONDO:0005821,1,indications,"['Tixagevimab', 'Cilgavimab']",late congenital syphilis,mechanistically_synergistic,0.9,False,"Tixagevimab and Cilgavimab are monoclonal antibodies used together for synergistic antiviral effect, applicable to infectious diseases like syphilis.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
DRUGBANK:DB12768|DRUGBANK:DB16479|DRUGBANK:DB18740||MONDO:0004641,"['DRUGBANK:DB12768', 'DRUGBANK:DB16479', 'DRUGBANK:DB18740']",MONDO:0004641,1,indications,"['Nogapendekin alfa', 'Inbakicept', 'BCG vaccine']",skin carcinoma in situ,mechanistically_synergistic,0.8,True,"Nogapendekin alfa and Inbakicept are immunomodulators potentially targeting skin carcinoma mechanisms; BCG vaccine also used in cancer immunotherapy, suggesting joint therapeutic intent.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:31355|CHEBI:63616|UNII:0JSR7Z0NB6||UMLS:C5395609,"['CHEBI:31355', 'CHEBI:63616', 'UNII:0JSR7Z0NB6']",UMLS:C5395609,1,indications,"['Amivantamab', 'Pemetrexed', 'Carboplatin']",Treatment naive,mechanistically_synergistic,0.9,False,"Amivantamab, Pemetrexed, and Carboplatin are used together to treat non-small cell lung cancer, targeting the disease synergistically.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
CHEBI:175901|CHEBI:27899|UNII:8JXN261VVA||MONDO:0015459,"['CHEBI:175901', 'CHEBI:27899', 'UNII:8JXN261VVA']",MONDO:0015459,1,indications,"['Toripalimab', 'Gemcitabine', 'Cisplatin']",nasopharyngeal carcinoma,mechanistically_synergistic,0.95,False,Toripalimab (immunotherapy) combined with Gemcitabine and Cisplatin (chemotherapy) is a known synergistic regimen for nasopharyngeal carcinoma.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00
