example_key,drug_set,condition_id_norm,mechanism_category,mechanism_confidence,needs_human_review,rationale_short,llm_model,prompt_version,classified_at_utc,from_cache
CHEBI:5551|CHEBI:9449||MONDO:0001358,"['CHEBI:5551', 'CHEBI:9449']",MONDO:0001358,mechanistically_synergistic,0.9,False,Terbutaline is a bronchodilator and Guaifenesin is an expectorant; both aid in relieving bronchospasm symptoms through complementary mechanisms.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:3697|CHEBI:471744||UMLS:C0852351,"['CHEBI:3697', 'CHEBI:471744']",UMLS:C0852351,mechanistically_synergistic,0.95,False,"Imipenem is an antibiotic and Cilastatin inhibits renal metabolism of Imipenem, enhancing its efficacy against bacterial infections.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:16469|CHEBI:7627||MONDO:0001410,"['CHEBI:16469', 'CHEBI:7627']",MONDO:0001410,mechanistically_synergistic,0.9,False,Norethisterone and Estradiol are both hormones used together to treat postmenopausal atrophic vaginitis by addressing hormonal deficiency.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:10082|CHEBI:91495||MONDO:0011786,"['CHEBI:10082', 'CHEBI:91495']",MONDO:0011786,mechanistically_synergistic,0.9,False,"Both Xylometazoline (a nasal decongestant) and ipratropium (an anticholinergic) are used to relieve nasal symptoms in atopic rhinitis, targeting complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:16914|CHEBI:31663||MONDO:0002137,"['CHEBI:16914', 'CHEBI:31663']",MONDO:0002137,mechanistically_synergistic,0.9,False,Halcinonide is a corticosteroid reducing inflammation; salicylic acid is a keratolytic aiding skin lesion treatment; both target noninfectious dermatoses mechanisms.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:22652|CHEBI:46195|CHEBI:52010||MONDO:0005812,"['CHEBI:22652', 'CHEBI:46195', 'CHEBI:52010']",MONDO:0005812,mechanistically_synergistic,0.85,False,"Acetaminophen reduces fever and pain, chlorphenamine is an antihistamine reducing allergy symptoms, and ascorbic acid supports immune function; combined they target influenza symptoms and support recovery.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:36560|DRUGBANK:DB11321||UMLS:C0332686,"['CHEBI:36560', 'DRUGBANK:DB11321']",UMLS:C0332686,mechanistically_synergistic,0.8,False,"Zinc oxide is used topically for skin protection and healing; cod liver oil provides vitamins A and D which support skin repair, both targeting epidermal burn healing.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:17234|CHEBI:34674||HP:0011028,"['CHEBI:17234', 'CHEBI:34674']",HP:0011028,other,0.6,True,Dextran sulfate and D-glucose have no clear joint mechanism targeting abnormal blood circulation; likely unrelated or insufficient info.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:15365|CHEBI:33130|CHEBI:6637||UMLS:C1095929,"['CHEBI:15365', 'CHEBI:33130', 'CHEBI:6637']",UMLS:C1095929,common_comorbidity,0.8,False,"Aspirin is used for coronary artery issues; magnesium hydroxide and algeldrate are antacids likely used for gastrointestinal symptoms common in cardiac patients, not directly synergistic for coronary artery reocclusion.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:41879|CHEBI:63598||NCIT:C3137,"['CHEBI:41879', 'CHEBI:63598']",NCIT:C3137,mechanistically_synergistic,0.85,False,"Dexamethasone is an anti-inflammatory corticosteroid; Levofloxacin is an antibiotic that can reduce infection-driven inflammation, jointly addressing inflammation.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
DRUGBANK:DB11621|DRUGBANK:DB13968||MONDO:0005608,"['DRUGBANK:DB11621', 'DRUGBANK:DB13968']",MONDO:0005608,mechanistically_synergistic,0.9,False,"Both drugs are immune-based therapies targeting varicella zoster infection, likely used together for enhanced antiviral effect.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:2950|CHEBI:5134||HP:0410324,"['CHEBI:2950', 'CHEBI:5134']",HP:0410324,mechanistically_synergistic,0.9,False,Fluticasone (a corticosteroid) and Azelastine (an antihistamine) are commonly combined to treat allergic conditions like dust mite allergy by targeting inflammation and histamine response.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:3312|UNII:04XPW8C0FL|UNII:SCK81AMR7R|UNII:SCK81AMR7R|UNII:U50VWW6XH6||MONDO:0002243,"['CHEBI:3312', 'UNII:04XPW8C0FL', 'UNII:SCK81AMR7R', 'UNII:SCK81AMR7R', 'UNII:U50VWW6XH6']",MONDO:0002243,mechanistically_synergistic,0.9,False,"Drugs like rhThrombin, Simoctocog alfa, Aprotinin, and Calcium chloride all contribute to hemostasis and clotting, directly targeting hemorrhagic disease mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:3746|CHEBI:47519||MONDO:0007019,"['CHEBI:3746', 'CHEBI:47519']",MONDO:0007019,other,0.6,True,Ketoconazole is an antifungal used for vulvovaginitis; Evoclin (TN) is unclear and may not have a known synergistic mechanism with ketoconazole for this disease.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:4470|CHEBI:51209|CHEBI:8461||HP:0012735,"['CHEBI:4470', 'CHEBI:51209', 'CHEBI:8461']",HP:0012735,mechanistically_synergistic,0.9,False,"Pseudoephedrine (decongestant), Dextromethorphan (cough suppressant), and Promethazine (antihistamine/antiemetic) are commonly combined to treat cough symptoms via complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:2639|CHEBI:5778|CHEBI:9599||MONDO:0005044,"['CHEBI:2639', 'CHEBI:5778', 'CHEBI:9599']",MONDO:0005044,mechanistically_synergistic,0.95,False,"All three drugs (Amiloride, Timolol, Hydrochlorothiazide) are antihypertensives used together to manage hypertension via complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:18248|UNII:6897GXD6OE||MONDO:0001357,"['CHEBI:18248', 'UNII:6897GXD6OE']",MONDO:0001357,mechanistically_synergistic,0.9,False,Both Iron and Ferric carboxymaltose are iron supplements used to treat hypochromic anemia by addressing iron deficiency.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:22984|CHEBI:27300|CHEBI:28088||MONDO:0001068,"['CHEBI:22984', 'CHEBI:27300', 'CHEBI:28088']",MONDO:0001068,mechanistically_synergistic,0.9,False,"Calcium, cholecalciferol (vitamin D3), and genistein all support bone health and mineralization, directly addressing osteomalacia mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:135285|CHEBI:6801||CHEBI:6801,"['CHEBI:135285', 'CHEBI:6801']",CHEBI:6801,mechanistically_synergistic,0.9,False,Metformin and Vildagliptin are commonly combined to treat type 2 diabetes by complementary mechanisms.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:30187|CHEBI:33353|CHEBI:75215||MONDO:0007955,"['CHEBI:30187', 'CHEBI:33353', 'CHEBI:75215']",MONDO:0007955,other,0.4,True,No clear mechanistic synergy or common comorbidity; drugs are inorganic compounds with unclear therapeutic roles for Meckel diverticulum.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:17833|CHEBI:3077||MONDO:0002137,"['CHEBI:17833', 'CHEBI:3077']",MONDO:0002137,mechanistically_synergistic,0.85,False,Gentamicin is an antibiotic and Betamethasone is a corticosteroid; combined they treat noninfectious dermatoses by addressing inflammation and preventing secondary infection.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:48947|CHEBI:93248||MONDO:0020920,"['CHEBI:48947', 'CHEBI:93248']",MONDO:0020920,mechanistically_synergistic,0.95,False,Clavulanic acid is a beta-lactamase inhibitor combined with a beta-lactam antibiotic to treat E. coli infections synergistically.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:15765|CHEBI:39585|CHEBI:4798||MONDO:0014231,"['CHEBI:15765', 'CHEBI:39585', 'CHEBI:4798']",MONDO:0014231,mechanistically_synergistic,0.95,False,"Levodopa, Carbidopa, and Entacapone are commonly combined to enhance dopaminergic therapy in Parkinson's disease by increasing levodopa availability and reducing its metabolism.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:16469|CHEBI:50815||NCIT:C3852,"['CHEBI:16469', 'CHEBI:50815']",NCIT:C3852,mechanistically_synergistic,0.9,False,Norgestimate and estradiol are combined as hormone therapy to treat menopausal symptoms by addressing hormonal deficiencies.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:46195|CHEBI:52010|CHEBI:8093||MONDO:0011786,"['CHEBI:46195', 'CHEBI:52010', 'CHEBI:8093']",MONDO:0011786,mechanistically_synergistic,0.9,False,"Chlorphenamine (antihistamine), Acetaminophen (analgesic/antipyretic), and Phenylephrine (decongestant) are commonly combined to treat symptoms of atopic rhinitis.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:16469|CHEBI:6443||HP:0000786,"['CHEBI:16469', 'CHEBI:6443']",HP:0000786,mechanistically_synergistic,0.9,False,Estradiol and Levonorgestrel are combined in hormone therapy to treat primary amenorrhea by addressing hormonal deficiencies.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:291342|CHEBI:5855|CHEBI:8093||MONDO:0005812,"['CHEBI:291342', 'CHEBI:5855', 'CHEBI:8093']",MONDO:0005812,mechanistically_synergistic,0.85,False,"Phenylephrine (decongestant), Ibuprofen (anti-inflammatory/analgesic), and Desloratadine (antihistamine) are commonly combined to treat influenza symptoms synergistically.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:2676|CHEBI:48947||UMLS:C0856695,"['CHEBI:2676', 'CHEBI:48947']",UMLS:C0856695,mechanistically_synergistic,0.95,False,"Amoxicillin and clavulanic acid are combined to overcome bacterial resistance, jointly treating acute exacerbation of chronic bronchitis.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:28775|CHEBI:4631||HP:0025017,"['CHEBI:28775', 'CHEBI:4631']",HP:0025017,mechanistically_synergistic,0.9,False,Hesperidin and Diosmin are flavonoids commonly used together to treat capillary fragility by strengthening blood vessels.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:15640|CHEBI:31941|CHEBI:46345|UNII:8L7891MRB6|UNII:PQX0D8J21J||MONDO:0005974,"['CHEBI:15640', 'CHEBI:31941', 'CHEBI:46345', 'UNII:8L7891MRB6', 'UNII:PQX0D8J21J']",MONDO:0005974,other,0.7,True,Drugs are primarily cancer therapies; no direct mechanistic link to strongyloidiasis treatment is evident.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:16283|CHEBI:7916||HP:0030807,"['CHEBI:16283', 'CHEBI:7916']",HP:0030807,mechanistically_synergistic,0.7,False,"Both cystine and pantothenic acid are involved in keratin and nail health, targeting abnormal nail growth mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:15407|CHEBI:16714|CHEBI:30769|CHEBI:94557||HP:0012735,"['CHEBI:15407', 'CHEBI:16714', 'CHEBI:30769', 'CHEBI:94557']",HP:0012735,mechanistically_synergistic,0.85,False,"Codeine is an antitussive, Ephedrine is a decongestant, and Thiocolchicoside is a muscle relaxant; combined they address cough symptoms through complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:77032|CHEBI:85537||MONDO:0003781,"['CHEBI:77032', 'CHEBI:85537']",MONDO:0003781,mechanistically_synergistic,0.9,False,Both Bromhexine and Sulfogaiacol are mucolytic agents used to treat bronchitis by improving mucus clearance.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:28918|CHEBI:3215||NCIT:C92821,"['CHEBI:28918', 'CHEBI:3215']",NCIT:C92821,mechanistically_synergistic,0.9,False,"Bupivacaine is a local anesthetic and epinephrine is used to prolong anesthetic effect by vasoconstriction, both targeting labor pain relief.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:41879|CHEBI:85155|CHEBI:85157||EFO:0006911,"['CHEBI:41879', 'CHEBI:85155', 'CHEBI:85157']",EFO:0006911,mechanistically_synergistic,0.95,False,"Netupitant, dexamethasone, and palonosetron are combined to synergistically prevent chemotherapy-induced nausea and vomiting by targeting different pathways.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:2668|CHEBI:5778|CHEBI:9927||MONDO:0005044,"['CHEBI:2668', 'CHEBI:5778', 'CHEBI:9927']",MONDO:0005044,mechanistically_synergistic,0.95,False,"Valsartan, Hydrochlorothiazide, and Amlodipine are commonly combined to treat hypertension via complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:6538|CHEBI:73237|CHEBI:9449||HP:0012735,"['CHEBI:6538', 'CHEBI:73237', 'CHEBI:9449']",HP:0012735,mechanistically_synergistic,0.85,False,"Terbutaline is a bronchodilator, Loratadine an antihistamine, and Noscapine a cough suppressant; all target cough symptoms via complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
UNII:31YO63LBSN|UNII:6T8C155666||MONDO:0031219,"['UNII:31YO63LBSN', 'UNII:6T8C155666']",MONDO:0031219,mechanistically_synergistic,0.9,False,"Nivolumab and Ipilimumab are immune checkpoint inhibitors often combined to enhance anti-tumor immune response, relevant to cancer-related conditions like Turcot syndrome.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:16199|CHEBI:16914||MONDO:0006590,"['CHEBI:16199', 'CHEBI:16914']",MONDO:0006590,other,0.6,True,Salicylic acid is keratolytic for palmoplantar keratosis; urea is a moisturizer that may aid skin condition but not directly synergistic.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:3183|CHEBI:5551|CHEBI:8093||HP:0012735,"['CHEBI:3183', 'CHEBI:5551', 'CHEBI:8093']",HP:0012735,mechanistically_synergistic,0.9,False,"Brompheniramine (antihistamine), Phenylephrine (decongestant), and Guaifenesin (expectorant) are commonly combined to treat cough by targeting different symptoms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
UNII:31YO63LBSN|UNII:6T8C155666||UMLS:C0862906,"['UNII:31YO63LBSN', 'UNII:6T8C155666']",UMLS:C0862906,mechanistically_synergistic,0.9,False,Nivolumab and Ipilimumab are immune checkpoint inhibitors used together to enhance anti-tumor immune response in cancers including rhabdomyosarcoma.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:28864|CHEBI:41879||MONDO:0020283,"['CHEBI:28864', 'CHEBI:41879']",MONDO:0020283,mechanistically_synergistic,0.9,False,"Dexamethasone is a corticosteroid reducing inflammation in uveitis; Tobramycin is an antibiotic preventing or treating secondary infections in the eye, often used together in ocular inflammatory conditions.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:15409|CHEBI:31832|CHEBI:36773||HP:0003418,"['CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",HP:0003418,mechanistically_synergistic,0.9,False,"Levomenthol, camphor, and methyl salicylate are combined in topical analgesics to relieve back pain through complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
DRUGBANK:DB11097|UNII:K9NXW456E2||MONDO:0021063,"['DRUGBANK:DB11097', 'UNII:K9NXW456E2']",MONDO:0021063,other,0.3,True,Both drugs are plant-based fibers primarily used for digestive health; no clear mechanistic synergy or side effect relief for colon cancer.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:16914|CHEBI:9667||MONDO:0002406,"['CHEBI:16914', 'CHEBI:9667']",MONDO:0002406,mechanistically_synergistic,0.9,False,Both Triamcinolone (a corticosteroid) and Salicylic acid (a keratolytic) are used together to treat dermatitis by reducing inflammation and promoting skin exfoliation.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:15407|CHEBI:4470|CHEBI:8461||HP:0012735,"['CHEBI:15407', 'CHEBI:4470', 'CHEBI:8461']",HP:0012735,mechanistically_synergistic,0.85,False,"Ephedrine (a bronchodilator), Promethazine (an antihistamine), and Dextromethorphan (a cough suppressant) are commonly combined to treat cough symptoms via complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
DRUGBANK:DB15507|DRUGBANK:DB18750|DRUGBANK:DB18750||MONDO:0005812,"['DRUGBANK:DB15507', 'DRUGBANK:DB18750', 'DRUGBANK:DB18750']",MONDO:0005812,mechanistically_synergistic,0.9,False,"All drugs are influenza virus antigens targeting influenza infection, indicating joint therapeutic intent.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:31355|CHEBI:45863|UNII:2S9ZZM9Q9V||MONDO:0056806,"['CHEBI:31355', 'CHEBI:45863', 'UNII:2S9ZZM9Q9V']",MONDO:0056806,mechanistically_synergistic,0.95,False,"Bevacizumab, Carboplatin, and Paclitaxel are commonly combined to treat non-small cell lung carcinoma with complementary mechanisms targeting tumor growth and cell division.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:187892|CHEBI:3614||MONDO:0005318,"['CHEBI:187892', 'CHEBI:3614']",MONDO:0005318,other,0.6,True,Chlorhexidine is an antiseptic and Benzamidine is a protease inhibitor; their combined use for canker sore is not clearly mechanistically synergistic or for side effect relief.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:15409|CHEBI:31832|CHEBI:36773|UNII:2R04ONI662||UMLS:C0038045,"['CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773', 'UNII:2R04ONI662']",UMLS:C0038045,mechanistically_synergistic,0.9,False,All drugs are topical analgesics commonly combined to relieve pain and inflammation in sprains.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:5971|UNII:PQX0D8J21J||CHEBI:5971,"['CHEBI:5971', 'UNII:PQX0D8J21J']",CHEBI:5971,mechanistically_synergistic,0.9,False,"Cetuximab and irinotecan are often combined to treat colorectal cancer, targeting cancer via complementary mechanisms.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:16914|PUBCHEM.COMPOUND:6433489||UMLS:C0009938,"['CHEBI:16914', 'PUBCHEM.COMPOUND:6433489']",UMLS:C0009938,mechanistically_synergistic,0.8,False,Escin and salicylic acid both have anti-inflammatory properties useful in treating contusions.,gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
CHEBI:133009|CHEBI:63580|CHEBI:85083||MONDO:0005155,"['CHEBI:133009', 'CHEBI:63580', 'CHEBI:85083']",MONDO:0005155,mechanistically_synergistic,0.95,False,"Sofosbuvir, Ribavirin, and Velpatasvir are antiviral drugs used together to treat hepatitis C, which can cause liver cirrhosis; their combination targets the disease mechanism.",gpt-4.1-mini,v1,2026-02-11T22:24:07+00:00,True
