primary_drug_id,secondary_drug_id,condition_id_norm,primary_drug_id_norm,primary_drug_id_norm_label,secondary_drug_id_norm,secondary_drug_id_norm_label,condition_id_norm_norm,condition_id_norm_norm_label
DB16625,DB13956,MONDO:0002304,UNII:2W8I1S6T5L,Prasterone enantate,CHEBI:16469,Estradiol,MONDO:0002304,protein S deficiency
DB00397,DB00874,MONDO:0001106,PUBCHEM.COMPOUND:4786,Phenylpropanolamine,CHEBI:5551,Guaifenesin,MONDO:0001106,kidney failure
DB16000,DB08940,UMLS:C0151664,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:31749,Kebuzone,UMLS:C0151664,Gastrointestinal perforation
DB16625,DB13956,UMLS:C1277614,UNII:2W8I1S6T5L,Prasterone enantate,CHEBI:16469,Estradiol,UMLS:C1277614,Suspected endometrial cancer
DB15903,DB00977,MONDO:0025598,CHEBI:31394,chlormadinone,CHEBI:4903,Ethinylestradiol,MONDO:0025598,pneumonia caused by chlamydia
DB15889,DB15860,UMLS:C0267596,DRUGBANK:DB15889,Senna leaf,['Error'],['Error'],UMLS:C0267596,Rectal hemorrhage
DB16000,DB00281,UMLS:C1996939,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:6456,Lidocaine,UMLS:C1996939,History of hemorrhage into ventricle of brain
DB16000,DB00281,MONDO:0001866,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:6456,Lidocaine,MONDO:0001866,bipolar I disorder
DB16000,DB01234,MONDO:0007263,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:41879,Dexamethasone,MONDO:0007263,Arrhythmia
DB16000,DB00281,UMLS:C0151664,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:6456,Lidocaine,UMLS:C0151664,Gastrointestinal perforation
DB16000,DB08940,UMLS:C1996939,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:31749,Kebuzone,UMLS:C1996939,History of hemorrhage into ventricle of brain
DB16000,DB08940,MONDO:0001866,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:31749,Kebuzone,MONDO:0001866,bipolar I disorder
DB16000,DB08940,MONDO:0007263,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:31749,Kebuzone,MONDO:0007263,Arrhythmia
DB16000,DB00115,UMLS:C0151664,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:17439,Cyanocobalamin,UMLS:C0151664,Gastrointestinal perforation
DB16000,DB01234,UMLS:C1996939,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:41879,Dexamethasone,UMLS:C1996939,History of hemorrhage into ventricle of brain
DB16000,DB01234,MONDO:0001866,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:41879,Dexamethasone,MONDO:0001866,bipolar I disorder
DB16000,DB00115,MONDO:0007263,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:17439,Cyanocobalamin,MONDO:0007263,Arrhythmia
DB16000,DB01234,UMLS:C0151664,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:41879,Dexamethasone,UMLS:C0151664,Gastrointestinal perforation
DB12235,DB01395,HP:0100608,CHEBI:142773,Estetrol,CHEBI:50838,Drospirenone,HP:0100608,Metrorrhagia
DB09096,DB01190,MONDO:0005011,CHEBI:82405,Benzoyl peroxide,CHEBI:3746,Evoclin (TN),MONDO:0005011,Crohn disease
DB09096,DB01190,MONDO:0000705,CHEBI:82405,Benzoyl peroxide,CHEBI:3746,Evoclin (TN),MONDO:0000705,Clostridium difficile colitis
DB09096,DB01190,MONDO:0005101,CHEBI:82405,Benzoyl peroxide,CHEBI:3746,Evoclin (TN),MONDO:0005101,ulcerative colitis
DB13238,DB06151,UBERON:0002363,CHEBI:134753,Tuaminoheptane,CHEBI:28939,Acetylcysteine,UBERON:0002363,dura mater
DB01301,DB00446,MONDO:0004785,CHEBI:63334,Rolitetracycline,CHEBI:17698,Chloramphenicol,MONDO:0004785,blepharitis
DB15860,DB15889,UMLS:C0267596,['Error'],['Error'],DRUGBANK:DB15889,Senna leaf,UMLS:C0267596,Rectal hemorrhage
DB01301,DB01111,MONDO:0006668,CHEBI:63334,Rolitetracycline,CHEBI:37943,Colistin,MONDO:0006668,bacterial conjunctivitis
DB15815,DB11365,HP:0002027,DRUGBANK:DB15815,Boldo leaf extract,UNII:3FYP5M0IJX,Sennosides,HP:0002027,Abdominal pain
DB09375,DB11193,MONDO:0001106,UNII:BVS505O332,Chymotrypsin,DRUGBANK:DB11193,Papain,MONDO:0001106,kidney failure
DB15842,DB09153,HP:0100520,CHEBI:114786,Sodium metabisulfite,CHEBI:26710,Sodium chloride,HP:0100520,Oliguria
DB01301,DB01111,MONDO:0004785,CHEBI:63334,Rolitetracycline,CHEBI:37943,Colistin,MONDO:0004785,blepharitis
DB01301,DB00443,MONDO:0001031,CHEBI:63334,Rolitetracycline,CHEBI:3077,Betamethasone,MONDO:0001031,purulent acute otitis media
DB13735,DB00514,HP:0000119,CHEBI:85537,Sulfogaiacol,CHEBI:4470,Dextromethorphan,HP:0000119,Abnormality of the genitourinary system
DB13754,DB00316,MONDO:0005267,CHEBI:134916,Mephenoxalone,CHEBI:46195,Acetaminophen,MONDO:0005267,heart disorder
DB09375,DB11237,MONDO:0005271,UNII:BVS505O332,Chymotrypsin,CHEBI:9765,Trypsin,MONDO:0005271,Allergy
DB13312,DB09238,MONDO:0010481,CHEBI:135735,Delapril,CHEBI:135849,Manidipine,MONDO:0010481,angioedema
DB09375,DB11237,MONDO:0018874,UNII:BVS505O332,Chymotrypsin,CHEBI:9765,Trypsin,MONDO:0018874,acute myeloid leukemia
DB14151,DB14513,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:25107,magnesium atom,CHEBI:18145,Vitamin E
DB09415,DB00271,MONDO:0020347,CHEBI:59732,Meglumine,CHEBI:53691,Diatrizoate,MONDO:0020347,acute inflammatory demyelinating polyradiculoneuropathy
DB13754,DB00316,CHEBI:46195,CHEBI:134916,Mephenoxalone,CHEBI:46195,Acetaminophen,CHEBI:46195,Acetaminophen
DB09415,DB00271,UMLS:C0436539,CHEBI:59732,Meglumine,CHEBI:53691,Diatrizoate,UMLS:C0436539,Computed tomography result abnormal
DB13754,DB00316,MONDO:0019514,CHEBI:134916,Mephenoxalone,CHEBI:46195,Acetaminophen,MONDO:0019514,hepatic veno-occlusive disease
DB13312,DB09238,MONDO:0005252,CHEBI:135735,Delapril,CHEBI:135849,Manidipine,MONDO:0005252,heart failure
DB13238,DB06151,HP:0032807,CHEBI:134753,Tuaminoheptane,CHEBI:28939,Acetylcysteine,HP:0032807,Neonatal seizure
DB15821,DB00527,MONDO:0019289,CHEBI:177866,Fluocortolone caproate,CHEBI:247956,Cinchocaine,MONDO:0019289,hyperpigmentation of the skin
DB13754,DB00316,MONDO:0001106,CHEBI:134916,Mephenoxalone,CHEBI:46195,Acetaminophen,MONDO:0001106,kidney failure
DB15860,DB15889,HP:0002027,['Error'],['Error'],DRUGBANK:DB15889,Senna leaf,HP:0002027,Abdominal pain
DB15815,DB11365,UMLS:C0267596,DRUGBANK:DB15815,Boldo leaf extract,UNII:3FYP5M0IJX,Sennosides,UMLS:C0267596,Rectal hemorrhage
DB01301,DB00443,MONDO:0004785,CHEBI:63334,Rolitetracycline,CHEBI:3077,Betamethasone,MONDO:0004785,blepharitis
DB01301,DB00443,MONDO:0006668,CHEBI:63334,Rolitetracycline,CHEBI:3077,Betamethasone,MONDO:0006668,bacterial conjunctivitis
DB15815,DB15478,HP:0002027,DRUGBANK:DB15815,Boldo leaf extract,DRUGBANK:DB15478,Frangula purshiana bark,HP:0002027,Abdominal pain
DB09375,DB11237,MONDO:0001106,UNII:BVS505O332,Chymotrypsin,CHEBI:9765,Trypsin,MONDO:0001106,kidney failure
DB15842,DB09414,HP:0100520,CHEBI:114786,Sodium metabisulfite,CHEBI:131527,Dipotassium phosphate,HP:0100520,Oliguria
DB01301,DB01111,MONDO:0001031,CHEBI:63334,Rolitetracycline,CHEBI:37943,Colistin,MONDO:0001031,purulent acute otitis media
DB09375,DB11193,MONDO:0005271,UNII:BVS505O332,Chymotrypsin,DRUGBANK:DB11193,Papain,MONDO:0005271,Allergy
DB09375,DB11193,MONDO:0018874,UNII:BVS505O332,Chymotrypsin,DRUGBANK:DB11193,Papain,MONDO:0018874,acute myeloid leukemia
DB14151,DB00158,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:27470,Folic acid,CHEBI:18145,Vitamin E
DB15821,DB15777,MONDO:0019289,CHEBI:177866,Fluocortolone caproate,CHEBI:177427,Fluocortolone pivalate,MONDO:0019289,hyperpigmentation of the skin
DB15815,DB15478,UMLS:C0267596,DRUGBANK:DB15815,Boldo leaf extract,DRUGBANK:DB15478,Frangula purshiana bark,UMLS:C0267596,Rectal hemorrhage
DB01301,DB00446,MONDO:0006668,CHEBI:63334,Rolitetracycline,CHEBI:17698,Chloramphenicol,MONDO:0006668,bacterial conjunctivitis
DB15842,DB01914,HP:0100520,CHEBI:114786,Sodium metabisulfite,CHEBI:17234,D-glucose,HP:0100520,Oliguria
DB01301,DB00446,MONDO:0001031,CHEBI:63334,Rolitetracycline,CHEBI:17698,Chloramphenicol,MONDO:0001031,purulent acute otitis media
DB14151,DB01592,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:18248,Iron,CHEBI:18145,Vitamin E
DB15842,DB09395,HP:0100520,CHEBI:114786,Sodium metabisulfite,CHEBI:32954,Sodium acetate,HP:0100520,Oliguria
DB14151,DB00115,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:17439,Cyanocobalamin,CHEBI:18145,Vitamin E
DB14151,DB00162,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:12777,Vitamin A,CHEBI:18145,Vitamin E
DB14151,DB02701,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:17154,Nicotinamide,CHEBI:18145,Vitamin E
DB14151,DB09130,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:28694,Copper,CHEBI:18145,Vitamin E
DB14151,DB00165,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:16709,Pyridoxine,CHEBI:18145,Vitamin E
DB14151,DB00126,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:22652,Ascorbic acid,CHEBI:18145,Vitamin E
DB14151,DB00140,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:17015,Riboflavin,CHEBI:18145,Vitamin E
DB14151,DB01373,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:22984,Calcium,CHEBI:18145,Vitamin E
DB14151,DB00121,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:15956,Biotin,CHEBI:18145,Vitamin E
DB14151,DB01593,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:27363,Zinc,CHEBI:18145,Vitamin E
DB14151,DB01783,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:7916,pantothenic acid,CHEBI:18145,Vitamin E
DB14151,DB00153,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:28934,Ergocalciferol,CHEBI:18145,Vitamin E
DB14151,DB06757,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:29035,manganese(2+),CHEBI:18145,Vitamin E
DB14151,DB14151,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:28659,Phosphorus,CHEBI:18145,Vitamin E
DB14151,DB00152,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:18385,Thiamine,CHEBI:18145,Vitamin E
DB14151,DB00163,CHEBI:18145,CHEBI:28659,Phosphorus,CHEBI:18145,Vitamin E,CHEBI:18145,Vitamin E
DB14151,DB14151,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:28659,Phosphorus,UMLS:C0573813,Vitamin A overdose
DB00297,DB00814,MONDO:0005271,CHEBI:3215,Bupivacaine,CHEBI:6741,Meloxicam,MONDO:0005271,Allergy
DB13673,DB13158,UMLS:C5818401,CHEBI:28098,Bekanamycin,CHEBI:31415,clobetasone butyrate,UMLS:C5818401,Type of antimicrobial resistant organism
DB09093,DB00620,MONDO:0006604,CHEBI:27644,Chlortetracycline,CHEBI:9667,Triamcinolone,MONDO:0006604,rosacea
DB15777,DB00281,UMLS:C0565653,CHEBI:177427,Fluocortolone pivalate,CHEBI:6456,Lidocaine,UMLS:C0565653,Immunization reaction
DB15860,DB15889,MONDO:0004565,['Error'],['Error'],DRUGBANK:DB15889,Senna leaf,MONDO:0004565,intestinal obstruction
DB15815,DB15478,MONDO:0004565,DRUGBANK:DB15815,Boldo leaf extract,DRUGBANK:DB15478,Frangula purshiana bark,MONDO:0004565,intestinal obstruction
DB00331,DB09038,MONDO:0005252,CHEBI:6801,Metformin,CHEBI:82720,Empagliflozin,MONDO:0005252,heart failure
DB00331,DB09038,HP:0001259,CHEBI:6801,Metformin,CHEBI:82720,Empagliflozin,HP:0001259,Coma
DB01211,DB01211,MONDO:0006874,CHEBI:3732,Clarithromycin,CHEBI:3732,Clarithromycin,MONDO:0006874,obstructive jaundice
DB01060,DB00766,MONDO:0006874,CHEBI:2676,Amoxicillin,CHEBI:48947,Clavulanic acid,MONDO:0006874,obstructive jaundice
DB01301,DB00446,MONDO:0015288,CHEBI:63334,Rolitetracycline,CHEBI:17698,Chloramphenicol,MONDO:0015288,herpes simplex virus keratitis
DB13384,DB00875,MONDO:0000465,CHEBI:135214,Melitracen,CHEBI:10454,Flupentixol,MONDO:0000465,atrioventricular block
DB09065,DB00203,MONDO:0005149,CHEBI:72291,Cobicistat,CHEBI:9139,Sildenafil,MONDO:0005149,pulmonary hypertension
DB01232,DB00203,MONDO:0005149,CHEBI:63621,Saquinavir,CHEBI:9139,Sildenafil,MONDO:0005149,pulmonary hypertension
DB01072,DB00203,MONDO:0005149,CHEBI:37924,Atazanavir,CHEBI:9139,Sildenafil,MONDO:0005149,pulmonary hypertension
DB01601,DB00503,MONDO:0005149,CHEBI:31781,Lopinavir,CHEBI:45409,Ritonavir,MONDO:0005149,pulmonary hypertension
DB00503,DB00203,MONDO:0005149,CHEBI:45409,Ritonavir,CHEBI:9139,Sildenafil,MONDO:0005149,pulmonary hypertension
DB13735,DB00514,MONDO:0005027,CHEBI:85537,Sulfogaiacol,CHEBI:4470,Dextromethorphan,MONDO:0005027,epilepsy
DB13415,DB01551,MONDO:0005027,CHEBI:34910,Pentetrazol,CHEBI:135276,Dihydrocodeine,MONDO:0005027,epilepsy
DB13754,DB00316,MONDO:0005027,CHEBI:134916,Mephenoxalone,CHEBI:46195,Acetaminophen,MONDO:0005027,epilepsy
DB13312,DB09238,MONDO:0001106,CHEBI:135735,Delapril,CHEBI:135849,Manidipine,MONDO:0001106,kidney failure
DB13787,DB01183,MONDO:0005303,CHEBI:77817,Tilidine,CHEBI:7459,Naloxone,MONDO:0005303,drug dependence
DB14151,DB00153,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:28934,Ergocalciferol,MONDO:0001166,nephritis
DB13803,DB00384,MONDO:0001166,CHEBI:135499,Xipamide,CHEBI:9671,Triamterene,MONDO:0001166,nephritis
DB15861,DB09015,MONDO:0001166,CHEBI:135492,Buthiazide,CHEBI:50156,Canrenoic acid,MONDO:0001166,nephritis
DB14151,DB09130,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:28694,Copper,UMLS:C0573813,Vitamin A overdose
DB15815,DB11365,MONDO:0004565,DRUGBANK:DB15815,Boldo leaf extract,UNII:3FYP5M0IJX,Sennosides,MONDO:0004565,intestinal obstruction
DB01301,DB01111,MONDO:0015288,CHEBI:63334,Rolitetracycline,CHEBI:37943,Colistin,MONDO:0015288,herpes simplex virus keratitis
DB01601,DB00203,MONDO:0005149,CHEBI:31781,Lopinavir,CHEBI:9139,Sildenafil,MONDO:0005149,pulmonary hypertension
DB14151,DB01593,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:27363,Zinc,MONDO:0001166,nephritis
DB14151,DB00115,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:17439,Cyanocobalamin,UMLS:C0573813,Vitamin A overdose
DB01301,DB00443,MONDO:0015288,CHEBI:63334,Rolitetracycline,CHEBI:3077,Betamethasone,MONDO:0015288,herpes simplex virus keratitis
DB14151,DB02701,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:17154,Nicotinamide,MONDO:0001166,nephritis
DB14151,DB00158,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:27470,Folic acid,UMLS:C0573813,Vitamin A overdose
DB14151,DB01592,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:18248,Iron,MONDO:0001166,nephritis
DB14151,DB00152,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:18385,Thiamine,UMLS:C0573813,Vitamin A overdose
DB14151,DB14513,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:25107,magnesium atom,MONDO:0001166,nephritis
DB14151,DB00126,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:22652,Ascorbic acid,UMLS:C0573813,Vitamin A overdose
DB14151,DB09130,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:28694,Copper,MONDO:0001166,nephritis
DB14151,DB01783,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:7916,pantothenic acid,UMLS:C0573813,Vitamin A overdose
DB14151,DB01783,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:7916,pantothenic acid,MONDO:0001166,nephritis
DB14151,DB14513,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:25107,magnesium atom,UMLS:C0573813,Vitamin A overdose
DB14151,DB00162,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:12777,Vitamin A,MONDO:0001166,nephritis
DB14151,DB00121,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:15956,Biotin,UMLS:C0573813,Vitamin A overdose
DB14151,DB01373,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:22984,Calcium,MONDO:0001166,nephritis
DB14151,DB00163,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:18145,Vitamin E,UMLS:C0573813,Vitamin A overdose
DB14151,DB00163,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:18145,Vitamin E,MONDO:0001166,nephritis
DB14151,DB01592,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:18248,Iron,UMLS:C0573813,Vitamin A overdose
DB14151,DB00140,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:17015,Riboflavin,MONDO:0001166,nephritis
DB14151,DB00153,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:28934,Ergocalciferol,UMLS:C0573813,Vitamin A overdose
DB14151,DB00152,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:18385,Thiamine,MONDO:0001166,nephritis
DB14151,DB02701,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:17154,Nicotinamide,UMLS:C0573813,Vitamin A overdose
DB14151,DB00126,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:22652,Ascorbic acid,MONDO:0001166,nephritis
DB14151,DB01593,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:27363,Zinc,UMLS:C0573813,Vitamin A overdose
DB14151,DB00115,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:17439,Cyanocobalamin,MONDO:0001166,nephritis
DB14151,DB00140,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:17015,Riboflavin,UMLS:C0573813,Vitamin A overdose
DB14151,DB14151,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:28659,Phosphorus,MONDO:0001166,nephritis
DB14151,DB01373,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:22984,Calcium,UMLS:C0573813,Vitamin A overdose
DB14151,DB06757,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:29035,manganese(2+),MONDO:0001166,nephritis
DB14151,DB00165,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:16709,Pyridoxine,UMLS:C0573813,Vitamin A overdose
DB14151,DB00165,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:16709,Pyridoxine,MONDO:0001166,nephritis
DB14151,DB00162,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:12777,Vitamin A,UMLS:C0573813,Vitamin A overdose
DB14151,DB00121,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:15956,Biotin,MONDO:0001166,nephritis
DB14151,DB06757,UMLS:C0573813,CHEBI:28659,Phosphorus,CHEBI:29035,manganese(2+),UMLS:C0573813,Vitamin A overdose
DB14151,DB00158,MONDO:0001166,CHEBI:28659,Phosphorus,CHEBI:27470,Folic acid,MONDO:0001166,nephritis
DB01167,DB11581,MONDO:0004948,CHEBI:6076,Itraconazole,CHEBI:133021,Venetoclax,MONDO:0004948,B-cell chronic lymphocytic leukemia
DB01243,DB00443,UMLS:C0162628,CHEBI:59477,Chloroxine,CHEBI:3077,Betamethasone,UMLS:C0162628,"Skin Diseases, Viral"
DB16625,DB13956,MONDO:0006716,UNII:2W8I1S6T5L,Prasterone enantate,CHEBI:16469,Estradiol,MONDO:0006716,coronary thrombosis
DB09124,DB00286,MONDO:0006716,CHEBI:135446,Medrogestone,CHEBI:8389,Conjugated estrogens,MONDO:0006716,coronary thrombosis
DB13195,DB01109,MONDO:0002049,['Error'],['Error'],CHEBI:28304,Heparin,MONDO:0002049,thrombocytopenia
DB15889,DB15860,HP:0002018,DRUGBANK:DB15889,Senna leaf,['Error'],['Error'],HP:0002018,Nausea
DB16000,DB00281,HP:0002239,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:6456,Lidocaine,HP:0002239,Gastrointestinal hemorrhage
DB16000,DB00115,MONDO:0002049,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:17439,Cyanocobalamin,MONDO:0002049,thrombocytopenia
DB00091,DB11082,MONDO:0005083,CHEBI:4031,Cyclosporine,DRUGBANK:DB11082,Coal tar,MONDO:0005083,psoriasis
DB13670,DB11156,MONDO:0000755,CHEBI:7821,Oxantel pamoate,CHEBI:8654,Pyrantel,MONDO:0000755,ectopic pregnancy
DB00957,DB00977,MONDO:0000755,CHEBI:50815,Norgestimate,CHEBI:4903,Ethinylestradiol,MONDO:0000755,ectopic pregnancy
DB01243,DB00443,MONDO:0000755,CHEBI:59477,Chloroxine,CHEBI:3077,Betamethasone,MONDO:0000755,ectopic pregnancy
DB01015,DB00440,MONDO:0000755,CHEBI:9332,Sulfamethoxazole,CHEBI:45924,Trimethoprim,MONDO:0000755,ectopic pregnancy
DB00440,DB01015,MONDO:0000755,CHEBI:45924,Trimethoprim,CHEBI:9332,Sulfamethoxazole,MONDO:0000755,ectopic pregnancy
DB16625,DB13956,MONDO:0000755,UNII:2W8I1S6T5L,Prasterone enantate,CHEBI:16469,Estradiol,MONDO:0000755,ectopic pregnancy
DB15889,DB15860,MONDO:0000755,DRUGBANK:DB15889,Senna leaf,['Error'],['Error'],MONDO:0000755,ectopic pregnancy
DB16022,DB11105,MONDO:0000755,CHEBI:186232,Thenyldiamine,CHEBI:135611,Benzalkonium,MONDO:0000755,ectopic pregnancy
DB16613,DB00798,MONDO:0000755,['Error'],['Error'],CHEBI:17833,Gentamicin,MONDO:0000755,ectopic pregnancy
DB15821,DB15777,MONDO:0000755,CHEBI:177866,Fluocortolone caproate,CHEBI:177427,Fluocortolone pivalate,MONDO:0000755,ectopic pregnancy
DB00091,DB00563,MONDO:0005083,CHEBI:4031,Cyclosporine,CHEBI:44185,Methotrexate,MONDO:0005083,psoriasis
DB13195,DB14343,MONDO:0002049,['Error'],['Error'],DRUGBANK:DB14343,Arnica montana flower,MONDO:0002049,thrombocytopenia
DB16000,DB01234,HP:0002239,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:41879,Dexamethasone,HP:0002239,Gastrointestinal hemorrhage
DB16000,DB08940,MONDO:0002049,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:31749,Kebuzone,MONDO:0002049,thrombocytopenia
DB16022,DB00388,MONDO:0000755,CHEBI:186232,Thenyldiamine,CHEBI:8093,Phenylephrine,MONDO:0000755,ectopic pregnancy
DB16000,DB08940,HP:0002239,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:31749,Kebuzone,HP:0002239,Gastrointestinal hemorrhage
DB16000,DB00281,MONDO:0002049,CHEBI:134850,Salicylamide O-acetic acid,CHEBI:6456,Lidocaine,MONDO:0002049,thrombocytopenia
