drug_set,condition_id_norm,label,missing_drug_ids,missing_disease_id,reason
"['CHEBI:114785', 'UNII:D99YVK4L0X']",UMLS:C3888903,1,[],UMLS:C3888903,missing_disease
"['CHEBI:114786', 'CHEBI:131527']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:114786', 'CHEBI:17234']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:114786', 'CHEBI:26710']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:114786', 'CHEBI:32954']",UMLS:C0040793,0,[],UMLS:C0040793,missing_disease
"['CHEBI:116735', 'CHEBI:135611', 'CHEBI:7507', 'UMLS:C0041499']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:116735', 'CHEBI:17987', 'CHEBI:34393']",UMLS:C5437085,1,[],UMLS:C5437085,missing_disease
"['CHEBI:116735', 'CHEBI:9468']",UMLS:C0011593,1,[],UMLS:C0011593,missing_disease
"['CHEBI:116735', 'CHEBI:94725', 'UMLS:C0041499']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:116735', 'UMLS:C0041499']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:12777', 'CHEBI:133538', 'CHEBI:15956', 'CHEBI:16708', 'CHEBI:16828', 'CHEBI:16908', 'CHEBI:17561', 'CHEBI:17895', 'CHEBI:17933', 'CHEBI:18385', 'CHEBI:22652', 'CHEBI:26078', 'CHEBI:26709', 'UMLS:C0003999', 'UMLS:C0025646', 'UMLS:C0036002', 'UMLS:C0042285']",MONDO:0001711,1,['UMLS:C0003999'],,missing_drug
"['CHEBI:12777', 'CHEBI:15940']",UMLS:C0342951,0,[],UMLS:C0342951,missing_disease
"['CHEBI:12777', 'CHEBI:18145', 'CHEBI:27306']",UMLS:C0852222,1,[],UMLS:C0852222,missing_disease
"['CHEBI:12777', 'CHEBI:28659']",UMLS:C0573813,0,[],UMLS:C0573813,missing_disease
"['CHEBI:127780', 'CHEBI:465284']",UMLS:C3838797,1,[],UMLS:C3838797,missing_disease
"['CHEBI:131391', 'CHEBI:27306', 'DRUGBANK:DB10344', 'UNII:61ZBX54883']",HP:0002018,1,"['DRUGBANK:DB10344', 'UNII:61ZBX54883']",,missing_drug
"['CHEBI:131391', 'CHEBI:27306', 'DRUGBANK:DB10344', 'UNII:61ZBX54883']",MONDO:0001942,1,"['DRUGBANK:DB10344', 'UNII:61ZBX54883']",,missing_drug
"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:25107', 'CHEBI:32588', 'CHEBI:32954']",UMLS:C4509972,1,[],UMLS:C4509972,missing_disease
"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32029', 'CHEBI:32599', 'CHEBI:3309']",UMLS:C4509972,1,[],UMLS:C4509972,missing_disease
['CHEBI:132774'],UMLS:C1142276,1,[],UMLS:C1142276,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049392,1,[],UMLS:C4049392,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049395,1,[],UMLS:C4049395,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049418,1,[],UMLS:C4049418,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049420,1,[],UMLS:C4049420,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049431,1,[],UMLS:C4049431,missing_disease
"['CHEBI:133009', 'CHEBI:85083']",UMLS:C4049435,1,[],UMLS:C4049435,missing_disease
['CHEBI:133011'],UMLS:C1861151,1,[],UMLS:C1861151,missing_disease
['CHEBI:133011'],UMLS:C2063410,1,[],UMLS:C2063410,missing_disease
"['CHEBI:133021', 'CHEBI:76612']",UMLS:C5395609,1,[],UMLS:C5395609,missing_disease
"['CHEBI:133538', 'CHEBI:137228', 'CHEBI:15614', 'CHEBI:15971', 'CHEBI:16530', 'CHEBI:16857', 'CHEBI:17895', 'CHEBI:30851', 'CHEBI:48430']",UMLS:C2930544,1,[],UMLS:C2930544,missing_disease
"['CHEBI:133538', 'CHEBI:15428', 'CHEBI:15603', 'CHEBI:15971', 'CHEBI:16467', 'CHEBI:16828', 'CHEBI:16857', 'CHEBI:17115', 'CHEBI:17191', 'CHEBI:17203', 'CHEBI:17895', 'CHEBI:25107', 'CHEBI:26710', 'CHEBI:3312', 'CHEBI:78320', 'UMLS:C0001898', 'UMLS:C0025646', 'UMLS:C0031453', 'UMLS:C0042285', 'UMLS:C4534672']",UMLS:C2585811,1,['UMLS:C4534672'],UMLS:C2585811,missing_drug+missing_disease
"['CHEBI:133538', 'CHEBI:15603', 'CHEBI:15971', 'CHEBI:16828', 'CHEBI:16857', 'CHEBI:17191', 'UMLS:C0025646', 'UMLS:C0031453', 'UMLS:C0042285']",UMLS:C0542211,1,[],UMLS:C0542211,missing_disease
['CHEBI:134689'],UMLS:C5706080,1,[],UMLS:C5706080,missing_disease
"['CHEBI:134699', 'CHEBI:15765', 'CHEBI:39585']",MONDO:0008364,1,['CHEBI:39585'],,missing_drug
"['CHEBI:134718', 'CHEBI:15765', 'CHEBI:39585']",MONDO:0014231,1,['CHEBI:39585'],,missing_drug
"['CHEBI:134719', 'CHEBI:9421']",UMLS:C2189270,1,[],UMLS:C2189270,missing_disease
"['CHEBI:134719', 'CHEBI:9421']",UMLS:C4727977,1,[],UMLS:C4727977,missing_disease
"['CHEBI:134726', 'CHEBI:15765', 'CHEBI:39585']",MONDO:0014231,1,['CHEBI:39585'],,missing_drug
['CHEBI:134741'],UMLS:C0858004,1,[],UMLS:C0858004,missing_disease
['CHEBI:134741'],UMLS:C0858005,1,[],UMLS:C0858005,missing_disease
"['CHEBI:134743', 'CHEBI:63580', 'UMLS:C0391001']",UMLS:C4049392,1,[],UMLS:C4049392,missing_disease
"['CHEBI:134743', 'CHEBI:63580', 'UMLS:C0391001']",UMLS:C4049431,1,[],UMLS:C4049431,missing_disease
"['CHEBI:134743', 'CHEBI:63580', 'UNII:G8RGG88B68']",UMLS:C4049392,1,[],UMLS:C4049392,missing_disease
"['CHEBI:134743', 'CHEBI:63580', 'UNII:G8RGG88B68']",UMLS:C4049431,1,[],UMLS:C4049431,missing_disease
"['CHEBI:134743', 'CHEBI:85083']",UMLS:C4049392,1,[],UMLS:C4049392,missing_disease
"['CHEBI:134753', 'CHEBI:28939']",UMLS:C0342398,0,[],UMLS:C0342398,missing_disease
"['CHEBI:134761', 'CHEBI:88839']",UMLS:C0856716,0,[],UMLS:C0856716,missing_disease
"['CHEBI:134813', 'CHEBI:52010', 'CHEBI:8093']",UMLS:C2317131,1,[],UMLS:C2317131,missing_disease
"['CHEBI:134850', 'CHEBI:17439']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:17439']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134850', 'CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",UMLS:C0543612,1,[],UMLS:C0543612,missing_disease
"['CHEBI:134850', 'CHEBI:31749']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:31749']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134850', 'CHEBI:41879']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:41879']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134850', 'CHEBI:6456']",UMLS:C0948998,0,[],UMLS:C0948998,missing_disease
"['CHEBI:134850', 'CHEBI:6456']",UMLS:C1996939,0,[],UMLS:C1996939,missing_disease
"['CHEBI:134880', 'CHEBI:39585']",MONDO:0020128,1,['CHEBI:39585'],,missing_drug
['CHEBI:134991'],UMLS:C1275835,0,[],UMLS:C1275835,missing_disease
['CHEBI:134991'],UMLS:C1868885,0,[],UMLS:C1868885,missing_disease
"['CHEBI:135096', 'CHEBI:16914']",UMLS:C1271063,0,[],UMLS:C1271063,missing_disease
"['CHEBI:135096', 'CHEBI:16914']",UMLS:C2609048,1,[],UMLS:C2609048,missing_disease
"['CHEBI:135285', 'CHEBI:6801']",UMLS:C0862906,1,[],UMLS:C0862906,missing_disease
"['CHEBI:135285', 'CHEBI:6801']",UMLS:C3838797,1,[],UMLS:C3838797,missing_disease
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",CHEBI:41922,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",HP:0001681,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",HP:0002910,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0001531,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0005027,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0005098,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0005628,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0006716,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0007254,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0016027,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",MONDO:0019142,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",NCIT:C26945,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",UMLS:C0155668,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",UMLS:C0559162,0,['PUBCHEM.COMPOUND:45357473'],UMLS:C0559162,missing_drug+missing_disease
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",UMLS:C0743516,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",UMLS:C1261367,0,['PUBCHEM.COMPOUND:45357473'],UMLS:C1261367,missing_drug+missing_disease
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",UMLS:C1277190,0,['PUBCHEM.COMPOUND:45357473'],UMLS:C1277190,missing_drug+missing_disease
"['CHEBI:135446', 'PUBCHEM.COMPOUND:45357473']",UniProtKB:Q865K8,0,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135492', 'CHEBI:50156']",UMLS:C0851300,1,[],UMLS:C0851300,missing_disease
"['CHEBI:135499', 'CHEBI:9671']",UMLS:C0851300,1,[],UMLS:C0851300,missing_disease
"['CHEBI:135499', 'CHEBI:9671']",UMLS:C1142529,0,[],UMLS:C1142529,missing_disease
"['CHEBI:135515', 'UMLS:C3641728', 'UNII:4F4X42SYQ6']",MONDO:0007915,1,['UMLS:C3641728'],,missing_drug
"['CHEBI:135515', 'UMLS:C3641728', 'UNII:4F4X42SYQ6']",MONDO:0010643,1,['UMLS:C3641728'],,missing_drug
"['CHEBI:135523', 'CHEBI:15354']",UMLS:C0851439,1,[],UMLS:C0851439,missing_disease
['CHEBI:135530'],UMLS:C0341736,1,[],UMLS:C0341736,missing_disease
"['CHEBI:135530', 'CHEBI:9398']",UMLS:C3838797,1,[],UMLS:C3838797,missing_disease
"['CHEBI:135538', 'CHEBI:22652', 'CHEBI:46195']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:135538', 'CHEBI:5088']",UMLS:C0853509,1,[],UMLS:C0853509,missing_disease
"['CHEBI:135538', 'CHEBI:5088']",UMLS:C0863151,1,[],UMLS:C0863151,missing_disease
"['CHEBI:135538', 'CHEBI:5088']",UMLS:C4041537,1,[],UMLS:C4041537,missing_disease
"['CHEBI:135547', 'CHEBI:94773']",UMLS:C1290992,1,[],UMLS:C1290992,missing_disease
"['CHEBI:135563', 'CHEBI:4903']",EFO:0004340,1,[],EFO:0004340,missing_disease
"['CHEBI:135581', 'CHEBI:135581']",UMLS:C0854334,0,[],UMLS:C0854334,missing_disease
"['CHEBI:135581', 'CHEBI:247956']",UMLS:C0854334,0,[],UMLS:C0854334,missing_disease
"['CHEBI:135581', 'CHEBI:6456']",UMLS:C0565653,0,[],UMLS:C0565653,missing_disease
"['CHEBI:135598', 'CHEBI:33353']",UMLS:C0852149,1,[],UMLS:C0852149,missing_disease
"['CHEBI:135611', 'CHEBI:17824']",UMLS:C0178808,1,[],UMLS:C0178808,missing_disease
"['CHEBI:135611', 'CHEBI:36560', 'CHEBI:39561']",UMLS:C0086196,1,[],UMLS:C0086196,missing_disease
"['CHEBI:135611', 'CHEBI:39561']",UMLS:C0043255,1,[],UMLS:C0043255,missing_disease
"['CHEBI:135611', 'CHEBI:41872']",UMLS:C0729771,1,[],UMLS:C0729771,missing_disease
"['CHEBI:135642', 'CHEBI:31498']",NCIT:C78213,1,[],NCIT:C78213,missing_disease
['CHEBI:135679'],UMLS:C0339164,1,[],UMLS:C0339164,missing_disease
"['CHEBI:135735', 'CHEBI:135849']",UMLS:C1802373,0,[],UMLS:C1802373,missing_disease
"['CHEBI:135735', 'CHEBI:135849']",UMLS:C1998297,0,[],UMLS:C1998297,missing_disease
"['CHEBI:135735', 'CHEBI:135849']",UMLS:C2585811,0,[],UMLS:C2585811,missing_disease
"['CHEBI:135735', 'CHEBI:135849']",UMLS:C4708664,0,[],UMLS:C4708664,missing_disease
"['CHEBI:135735', 'CHEBI:601027']",UMLS:C1802373,0,[],UMLS:C1802373,missing_disease
"['CHEBI:135780', 'CHEBI:49575']",UMLS:C4728126,1,[],UMLS:C4728126,missing_disease
['CHEBI:135809'],UMLS:C0264890,0,[],UMLS:C0264890,missing_disease
['CHEBI:135809'],UMLS:C1609524,0,[],UMLS:C1609524,missing_disease
['CHEBI:135920'],UMLS:C0341736,1,[],UMLS:C0341736,missing_disease
['CHEBI:135928'],UMLS:C0865440,1,[],UMLS:C0865440,missing_disease
['CHEBI:135931'],UMLS:C0341102,1,[],UMLS:C0341102,missing_disease
['CHEBI:135931'],UMLS:C5942648,1,[],UMLS:C5942648,missing_disease
"['CHEBI:135947', 'PUBCHEM.COMPOUND:45357473']",MONDO:0005298,1,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135947', 'PUBCHEM.COMPOUND:45357473']",MONDO:0006004,1,['PUBCHEM.COMPOUND:45357473'],,missing_drug
"['CHEBI:135947', 'PUBCHEM.COMPOUND:45357473']",NCIT:C3852,1,['PUBCHEM.COMPOUND:45357473'],,missing_drug
['CHEBI:135983'],UMLS:C0410438,1,[],UMLS:C0410438,missing_disease
"['CHEBI:136009', 'CHEBI:15640', 'CHEBI:15908', 'CHEBI:16238', 'CHEBI:16908', 'CHEBI:17750', 'CHEBI:18303', 'CHEBI:18405', 'CHEBI:18408', 'CHEBI:185218', 'CHEBI:27470', 'UMLS:C3818793', 'UNII:0N1G678593', 'UNII:9TI35313XW']",MONDO:0004574,1,"['UMLS:C3818793', 'UNII:0N1G678593']",,missing_drug
"['CHEBI:136009', 'CHEBI:15640', 'CHEBI:15908', 'CHEBI:16238', 'CHEBI:16908', 'CHEBI:17750', 'CHEBI:18303', 'CHEBI:18405', 'CHEBI:18408', 'CHEBI:185218', 'CHEBI:27470', 'UMLS:C3818793', 'UNII:0N1G678593', 'UNII:9TI35313XW']",MONDO:0008228,1,"['UMLS:C3818793', 'UNII:0N1G678593']",,missing_drug
"['CHEBI:136009', 'CHEBI:28115', 'DRUGBANK:DB14276']",MONDO:0034212,1,['DRUGBANK:DB14276'],,missing_drug
"['CHEBI:136042', 'CHEBI:6801']",UniProtKB:A0A8D1N440,1,[],UniProtKB:A0A8D1N440,missing_disease
"['CHEBI:136042', 'CHEBI:6935', 'UNII:T58MSI464G']",UniProtKB:A0A8D1N440,1,[],UniProtKB:A0A8D1N440,missing_disease
['CHEBI:136048'],UMLS:C0341102,1,[],UMLS:C0341102,missing_disease
['CHEBI:140296'],UMLS:C0011847,1,[],UMLS:C0011847,missing_disease
"['CHEBI:142773', 'CHEBI:50838']",UMLS:C0337664,0,[],UMLS:C0337664,missing_disease
"['CHEBI:142773', 'CHEBI:50838']",UniProtKB:A0A4X1SKS6,0,[],UniProtKB:A0A4X1SKS6,missing_disease
['CHEBI:144551'],UMLS:C0341736,1,[],UMLS:C0341736,missing_disease
"['CHEBI:145994', 'CHEBI:95341']",UMLS:C0748061,1,[],UMLS:C0748061,missing_disease
['CHEBI:149836'],UMLS:C0332803,1,[],UMLS:C0332803,missing_disease
"['CHEBI:15354', 'CHEBI:27732']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15354', 'CHEBI:4470', 'CHEBI:5551', 'CHEBI:8093']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15354', 'CHEBI:4636', 'CHEBI:8093']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15354', 'CHEBI:5551', 'CHEBI:8093']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15365', 'CHEBI:22652']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15365', 'CHEBI:27732', 'CHEBI:46195']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15365', 'CHEBI:27732', 'CHEBI:46195']",UMLS:C1698508,1,[],UMLS:C1698508,missing_disease
"['CHEBI:15365', 'CHEBI:30769', 'CHEBI:32139']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15365', 'CHEBI:32139']",UMLS:C0851976,1,[],UMLS:C0851976,missing_disease
"['CHEBI:15365', 'CHEBI:33130', 'CHEBI:6637']",UMLS:C0340288,1,[],UMLS:C0340288,missing_disease
"['CHEBI:15365', 'CHEBI:33130', 'CHEBI:6637']",UMLS:C0423719,1,[],UMLS:C0423719,missing_disease
"['CHEBI:15365', 'CHEBI:33130', 'CHEBI:6637']",UMLS:C1095929,1,[],UMLS:C1095929,missing_disease
"['CHEBI:15365', 'CHEBI:38545']",UMLS:C1996962,1,[],UMLS:C1996962,missing_disease
"['CHEBI:15365', 'CHEBI:39548']",UMLS:C0919822,1,[],UMLS:C0919822,missing_disease
"['CHEBI:15365', 'CHEBI:39548']",UMLS:C4324389,1,[],UMLS:C4324389,missing_disease
"['CHEBI:15365', 'CHEBI:51173']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15365', 'CHEBI:51209']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15365', 'CHEBI:9588']",UMLS:C3889030,1,[],UMLS:C3889030,missing_disease
"['CHEBI:15366', 'CHEBI:15366', 'CHEBI:30136', 'UNII:80EHD8I43D']",UMLS:C0740437,1,[],UMLS:C0740437,missing_disease
"['CHEBI:15366', 'CHEBI:17650']",UMLS:C0740437,1,[],UMLS:C0740437,missing_disease
['CHEBI:15367'],UMLS:C0344328,1,[],UMLS:C0344328,missing_disease
['CHEBI:15367'],UMLS:C5775788,1,[],UMLS:C5775788,missing_disease
"['CHEBI:15367', 'CHEBI:16199']",UMLS:C0851421,1,[],UMLS:C0851421,missing_disease
"['CHEBI:15377', 'UNII:LIA7Z4002P']",UMLS:C1112142,1,[],UMLS:C1112142,missing_disease
"['CHEBI:15377', 'UNII:LIA7Z4002P']",UniProtKB:A0A8D0YGK4,1,[],UniProtKB:A0A8D0YGK4,missing_disease
"['CHEBI:15407', 'CHEBI:25187', 'CHEBI:31292', 'CHEBI:3614', 'CHEBI:36560', 'CHEBI:9468', 'UNII:FGL8577C9S']",MONDO:0004872,1,['UNII:FGL8577C9S'],,missing_drug
"['CHEBI:15407', 'CHEBI:4470', 'CHEBI:46195', 'CHEBI:51380']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15407', 'CHEBI:46195', 'CHEBI:52010', 'CHEBI:5551']",UMLS:C0852402,1,[],UMLS:C0852402,missing_disease
"['CHEBI:15428', 'CHEBI:21557']",UMLS:C0851439,1,[],UMLS:C0851439,missing_disease
"['CHEBI:15603', 'CHEBI:17191', 'UMLS:C0042285']",UMLS:C0393642,1,[],UMLS:C0393642,missing_disease
"['CHEBI:15603', 'CHEBI:17191', 'UMLS:C0042285']",UMLS:C1704207,1,[],UMLS:C1704207,missing_disease
"['CHEBI:15640', 'CHEBI:29034']",UMLS:C0156847,1,[],UMLS:C0156847,missing_disease
"['CHEBI:15640', 'CHEBI:29034']",UMLS:C0271930,1,[],UMLS:C0271930,missing_disease
