primary_drug_id,secondary_drug_id,condition_id_norm,primary_drug_id_norm,primary_drug_id_norm_label,secondary_drug_id_norm,secondary_drug_id_norm_label,condition_id_norm_norm,condition_id_norm_norm_label
DB18740,"DB16479,DB12768",MONDO:0004641,DRUGBANK:DB18740,Nogapendekin alfa,"['DRUGBANK:DB16479', 'DRUGBANK:DB12768']","['Inbakicept', 'BCG vaccine']",MONDO:0004641,skin carcinoma in situ
DB16695,"DB00642,DB00958",UMLS:C5395609,UNII:0JSR7Z0NB6,Amivantamab,"['CHEBI:63616', 'CHEBI:31355']","['Pemetrexed', 'Carboplatin']",UMLS:C5395609,Treatment naive
DB15043,"DB00441,DB00515",MONDO:0015459,UNII:8JXN261VVA,Toripalimab,"['CHEBI:175901', 'CHEBI:27899']","['Gemcitabine', 'Cisplatin']",MONDO:0015459,nasopharyngeal carcinoma
DB09536,"DB09321,DB11341,DB11111",NCIT:C111970,CHEBI:32234,Titanium dioxide,"['CHEBI:36560', 'UNII:NQ14646378', 'DRUGBANK:DB11111']","['Zinc oxide', 'Ichthammol', 'Witch hazel']",NCIT:C111970,Bulla
DB01060,DB00766,MONDO:0005230,CHEBI:2676,Amoxicillin,CHEBI:48947,Clavulanic acid,MONDO:0005230,cellulitis
DB12834,DB00196,MONDO:0002026,CHEBI:140628,Secnidazole,CHEBI:46081,Fluconazole,MONDO:0002026,candidiasis
DB06290,"DB00022,DB00811",UMLS:C4049392,CHEBI:134743,Simeprevir,"['UNII:G8RGG88B68', 'CHEBI:63580']","['Peginterferon alfa-2b', 'Ribavirin']",UMLS:C4049392,Chronic hepatitis C genotype 1
DB00201,"DB00316,DB13612",NCIT:C27003,CHEBI:27732,Caffeine,"['CHEBI:46195', 'UNII:N667F17JP1']","['Acetaminophen', 'Carbaspirin calcium']",NCIT:C27003,Acute Pain
DB13867,DB00983,MONDO:0004979,CHEBI:5134,Fluticasone,CHEBI:5147,Formoterol,MONDO:0004979,asthma
DB00656,DB00586,UMLS:C0234251,CHEBI:9654,Trazodone,CHEBI:47381,Diclofenac,UMLS:C0234251,Inflammatory pain
DB09511,DB09321,MONDO:0002406,PUBCHEM.COMPOUND:122173976,Talc,CHEBI:36560,Zinc oxide,MONDO:0002406,dermatitis
DB04815,DB00741,UMLS:C0033775,CHEBI:74460,Clioquinol,CHEBI:17650,Hydrocortisone,UMLS:C0033775,Pruritus Ani
DB08818,"DB09462,DB11059",NCIT:C187286,CHEBI:16336,Hyaluronic acid,"['CHEBI:17754', 'UNII:K679OBS311']","['Glycerin', 'Carboxymethylcellulose Sodium']",NCIT:C187286,Eye Irritation
DB01001,DB00874,MONDO:0004979,CHEBI:2549,Albuterol,CHEBI:5551,Guaifenesin,MONDO:0004979,asthma
DB15679,"DB09321,DB00281,DB14539",UMLS:C0033775,UNII:FGL8577C9S,Aluminum subacetate,"['CHEBI:36560', 'CHEBI:6456', 'CHEBI:17650']","['Zinc oxide', 'Lidocaine', 'Hydrocortisone']",UMLS:C0033775,Pruritus Ani
DB01410,DB15784,MONDO:0004979,CHEBI:31397,Ciclesonide,UNII:9810NUL4D1,Carmoterol,MONDO:0004979,asthma
DB09543,"DB00825,DB00554,DB09086",MONDO:0021167,CHEBI:31832,Methyl salicylate,"['CHEBI:15409', 'CHEBI:8249', 'CHEBI:4917']","['Levomenthol', 'Piroxicam', 'Eugenol']",MONDO:0021167,myositis
DB05039,DB00986,MONDO:0005002,CHEBI:68575,Indacaterol,CHEBI:90972,GLYCOPYRROLATE,MONDO:0005002,chronic obstructive pulmonary disease
DB11712,"DB15444,DB08820",MONDO:0009061,UNII:8RW88Y506K,Tezacaftor,"['UNII:RRN67GMB0V', 'CHEBI:66901']","['Elexacaftor', 'Ivacaftor']",MONDO:0009061,cystic fibrosis
DB08906,"DB09082,DB09076",MONDO:0005002,CHEBI:5134,Fluticasone,"['CHEBI:75037', 'UNII:GE2T1418SV']","['Vilanterol', 'Umeclidinium']",MONDO:0005002,chronic obstructive pulmonary disease
DB08820,"DB15444,DB11712",MONDO:0009061,CHEBI:66901,Ivacaftor,"['UNII:RRN67GMB0V', 'UNII:8RW88Y506K']","['Elexacaftor', 'Tezacaftor']",MONDO:0009061,cystic fibrosis
DB00972,DB00588,MONDO:0005091,CHEBI:2950,Azelastine,CHEBI:5134,Fluticasone,MONDO:0005091,severe acute respiratory syndrome
DB00938,DB00588,MONDO:0005002,CHEBI:9012,Salmeterol xinafoate,CHEBI:5134,Fluticasone,MONDO:0005002,chronic obstructive pulmonary disease
DB00983,DB00986,MONDO:0005002,CHEBI:5147,Formoterol,CHEBI:90972,GLYCOPYRROLATE,MONDO:0005002,chronic obstructive pulmonary disease
DB08801,DB00388,MONDO:0005441,CHEBI:135222,Dimetindene,CHEBI:8093,Phenylephrine,MONDO:0005441,otitis media
DB00388,"DB00126,DB00316",MONDO:0005002,CHEBI:8093,Phenylephrine,"['CHEBI:22652', 'CHEBI:46195']","['Ascorbic acid', 'Acetaminophen']",MONDO:0005002,chronic obstructive pulmonary disease
DB14539,"DB00994,DB00741",MONDO:0004773,CHEBI:17650,Hydrocortisone,"['CHEBI:7507', 'CHEBI:17650']","['Framycetin', 'Hydrocortisone']",MONDO:0004773,iridocyclitis
DB00852,"DB00427,DB00874",UMLS:C0152029,CHEBI:51209,Pseudoephedrine,"['CHEBI:84116', 'CHEBI:5551']","['Triprolidine', 'Guaifenesin']",UMLS:C0152029,Congestion of nasal sinus (disorder)
DB00448,"DB01060,DB01211",MONDO:0005412,CHEBI:6375,Lansoprazole,"['CHEBI:2676', 'CHEBI:3732']","['Amoxicillin', 'Clarithromycin']",MONDO:0005412,duodenal ulcer
DB14233,"DB14476,DB03756,DB09462,DB00159",MONDO:0005137,DRUGBANK:DB14233,Egg phospholipids,"['CHEBI:18145', 'CHEBI:28125', 'CHEBI:17754', 'CHEBI:28364']","['Vitamin E', 'Doconexent', 'Glycerin', 'Icosapent']",MONDO:0005137,malnutrition
DB13956,DB09389,HP:0000869,CHEBI:16469,Estradiol,CHEBI:6443,Levonorgestrel,HP:0000869,Secondary amenorrhea
DB09273,DB06151,MONDO:0100470,CHEBI:94714,Doxofylline,CHEBI:28939,Acetylcysteine,MONDO:0100470,reactive airway disease
DB00316,DB09214,NCIT:C3244,CHEBI:46195,Acetaminophen,CHEBI:76128,Dexketoprofen,NCIT:C3244,Musculoskeletal Pain
DB00936,DB13882,NCIT:C3244,CHEBI:16914,Salicylic acid,CHEBI:134761,Methyl nicotinate,NCIT:C3244,Musculoskeletal Pain
DB01114,"DB00388,DB00316",MONDO:0024355,CHEBI:52010,chlorphenamine,"['CHEBI:8093', 'CHEBI:46195']","['Phenylephrine', 'Acetaminophen']",MONDO:0024355,respiratory tract infectious disorder
DB01099,DB00681,MONDO:0042233,CHEBI:5100,Flucytosine,CHEBI:2682,Amphotericin B,MONDO:0042233,disseminated candidiasis
DB11074,DB08938,MONDO:0004966,CHEBI:31498,Dimethicone,UNII:6V88E24N5T,Magaldrate,MONDO:0004966,gastritis
DB00134,"DB00168,DB00151,DB00146,DB00152,DB00161,DB00126,DB00173,DB00118,DB14015,DB09394,DB00135,DB00150,DB00121,DB00157,DB00123,DB00162",MONDO:0001711,CHEBI:16811,Racemethionine,"['CHEBI:195544', 'CHEBI:17561', 'CHEBI:17933', 'CHEBI:18385', 'CHEBI:16414', 'CHEBI:22652', 'CHEBI:16708', 'CHEBI:15414', 'CHEBI:26709', 'CHEBI:26078', 'CHEBI:17895', 'CHEBI:16828', 'CHEBI:15956', 'CHEBI:16908', 'CHEBI:133538', 'CHEBI:12777']","['Aspartame', 'Cysteine', 'Calcifediol', 'Thiamine', 'Valine', 'Ascorbic acid', 'Adenine', 'Ademetionine', 'Sodium bisulfite', 'Phosphoric acid', 'Tyrosine', 'Tryptophan', 'Biotin', 'NADH', 'Lysine', 'Vitamin A']",MONDO:0001711,hepatic encephalopathy
DB00316,"DB00945,DB00201",HP:0003326,CHEBI:46195,Acetaminophen,"['CHEBI:15365', 'CHEBI:27732']","['Aspirin', 'Caffeine']",HP:0003326,Myalgia
DB01744,"DB03852,DB09543,DB00825",HP:0003326,CHEBI:36773,camphor,"['CHEBI:27961', 'CHEBI:31832', 'CHEBI:15409']","['Eucalyptol', 'Methyl salicylate', 'Levomenthol']",HP:0003326,Myalgia
DB00825,"DB11324,DB11323,DB14003",HP:0003326,CHEBI:15409,Levomenthol,"['CHEBI:46936', 'CHEBI:86541', 'CHEBI:18145']","['Nonivamide', 'Glycol salicylate', 'Vitamin E']",HP:0003326,Myalgia
DB06654,"DB00190,DB01235",MONDO:0014231,CHEBI:134718,Safinamide,"['CHEBI:39585', 'CHEBI:15765']","['Carbidopa', 'Levodopa']",MONDO:0014231,juvenile onset Parkinson disease 19A
DB01234,DB00446,MONDO:0005041,CHEBI:41879,Dexamethasone,CHEBI:17698,Chloramphenicol,MONDO:0005041,glaucoma
DB01037,"DB00190,DB01235",MONDO:0014231,CHEBI:9086,Selegiline,"['CHEBI:39585', 'CHEBI:15765']","['Carbidopa', 'Levodopa']",MONDO:0014231,juvenile onset Parkinson disease 19A
DB10992,"DB10796,DB10583,DB10788,DB10584,DB10797,DB10991,DB10795,DB11627",MONDO:0005526,UNII:63GD90PP8X,pertactin,"['DRUGBANK:DB10796', 'DRUGBANK:DB09876', 'UNII:63GD90PP8X', 'DRUGBANK:DB09877', 'DRUGBANK:DB10797', 'UNII:63GD90PP8X', 'DRUGBANK:DB10795', 'DRUGBANK:DB11627']","['Poliovirus type 2 antigen (formaldehyde inactivated)', 'Tetanus Toxoid', 'pertactin', 'Corynebacterium diphtheriae', 'Poliovirus type 3 antigen (formaldehyde inactivated)', 'pertactin', 'Poliovirus type 1 antigen (formaldehyde inactivated)', 'Hepatitis B Vaccine (Recombinant)']",MONDO:0005526,tetanus
DB11098,DB13518,MONDO:0007186,CHEBI:81862,Potassium bicarbonate,CHEBI:17548,Alginic acid,MONDO:0007186,Heartburn
DB01117,DB00207,MONDO:0005661,CHEBI:575568,Atovaquone,CHEBI:2955,Azithromycin,MONDO:0005661,babesiosis
DB00279,DB00451,MONDO:0006742,CHEBI:18258,Liothyronine,CHEBI:18332,Levothyroxine,MONDO:0006742,endemic goiter
DB09462,"DB04173,DB09153",MONDO:0006684,CHEBI:17754,Glycerin,"['CHEBI:28757', 'CHEBI:26710']","['fructose', 'Sodium chloride']",MONDO:0006684,brain edema
DB00316,"DB00126,DB13524",NCIT:C78640,CHEBI:46195,Acetaminophen,"['CHEBI:22652', 'CHEBI:135538']","['Ascorbic acid', 'Propyphenazone']",EFO:0010072,toothache
DB00936,DB00663,UMLS:C5441647,CHEBI:16914,Salicylic acid,CHEBI:34764,Flumethasone,EFO:0009856,lichen planopilaris
DB10651,DB00936,UMLS:C0240382,DRUGBANK:DB10651,Rhubarb,CHEBI:16914,Salicylic acid,UMLS:C0240382,Mouth swelling
DB09050,"DB00916,DB01606",MONDO:0002337,CHEBI:134719,Ceftolozane,"['CHEBI:6909', 'CHEBI:9421']","['Metronidazole', 'Tazobactam']",MONDO:0002337,intra-abdominal hemangioma
DB00525,DB16005,MONDO:0004678,CHEBI:9620,Tolnaftate,CHEBI:9661,Triacetin,MONDO:0004678,dermatophytosis
DB00704,DB01156,MONDO:0011122,CHEBI:7465,Naltrexone,CHEBI:3219,Bupropion,MONDO:0011122,obesity
DB15842,"DB09395,DB09414,DB01914,DB00761,DB09153",MONDO:0000440,CHEBI:114786,Sodium metabisulfite,"['CHEBI:32954', 'CHEBI:131527', 'CHEBI:17234', 'CHEBI:32588', 'CHEBI:26710']","['Sodium acetate', 'Dipotassium phosphate', 'D-glucose', 'Potassium chloride', 'Sodium chloride']",MONDO:0000440,metabolic acidosis
DB01114,DB06764,MONDO:0005551,CHEBI:52010,chlorphenamine,CHEBI:28674,Tetryzoline,MONDO:0005551,eye allergy
DB06710,DB14003,UMLS:C1963961,CHEBI:27436,Methyltestosterone,CHEBI:18145,Vitamin E,UMLS:C1963961,Testosterone deficiency
DB01075,DB06711,MONDO:0005551,CHEBI:4636,Diphenhydramine,CHEBI:7470,Naphazoline,MONDO:0005551,eye allergy
DB14539,"DB00994,DB00741",MONDO:0003085,CHEBI:17650,Hydrocortisone,"['CHEBI:7507', 'CHEBI:17650']","['Framycetin', 'Hydrocortisone']",MONDO:0003085,keratitis
DB00381,DB01076,MONDO:0006021,CHEBI:2668,Amlodipine,CHEBI:50690,atorvastatin(1-),MONDO:0006021,Variant Angina
DB00620,DB00586,MONDO:0006723,CHEBI:9667,Triamcinolone,CHEBI:47381,Diclofenac,MONDO:0006723,denture stomatitis
DB00443,"DB01111,DB01301,DB00446",MONDO:0003085,CHEBI:3077,Betamethasone,"['CHEBI:37943', 'CHEBI:63334', 'CHEBI:17698']","['Colistin', 'Rolitetracycline', 'Chloramphenicol']",MONDO:0003085,keratitis
DB13844,DB00475,MONDO:0019610,CHEBI:95178,Pipenzolate,CHEBI:3611,Chlordiazepoxide,MONDO:0019610,Zollinger-Ellison syndrome
DB08904,DB00563,MONDO:0011849,UNII:UMD07X179E,CERTOLIZUMAB,CHEBI:44185,Methotrexate,MONDO:0011849,psoriatic arthritis
DB00005,DB00563,MONDO:0011849,CHEBI:4875,Etanercept,CHEBI:44185,Methotrexate,MONDO:0011849,psoriatic arthritis
DB14631,DB00994,UMLS:C4551678,CHEBI:8378,Prednisolone,CHEBI:7507,Framycetin,EFO:0005752,eye inflammation
DB00443,"DB06764,DB13673",UMLS:C4551678,CHEBI:3077,Betamethasone,"['CHEBI:28674', 'CHEBI:28098']","['Tetryzoline', 'Bekanamycin']",EFO:0005752,eye inflammation
DB00443,DB00798,UMLS:C4551678,CHEBI:3077,Betamethasone,CHEBI:17833,Gentamicin,EFO:0005752,eye inflammation
DB00162,DB14002,MONDO:0002467,CHEBI:12777,Vitamin A,CHEBI:18145,Vitamin E,MONDO:0002467,inner ear disorder
DB00936,DB00394,UMLS:C0406326,CHEBI:16914,Salicylic acid,CHEBI:3001,beclomethasone,UMLS:C0406326,Psoriasis of scalp
DB09019,DB01001,HP:0031247,CHEBI:77032,Bromhexine,CHEBI:2549,Albuterol,HP:0031247,Whooping cough
DB01131,DB01117,MONDO:0005920,CHEBI:8455,Proguanil,CHEBI:575568,Atovaquone,MONDO:0005920,Plasmodium falciparum malaria
DB06819,DB08834,MONDO:0004976,CHEBI:41500,Phenylbutyrates,CHEBI:80774,taurursodiol,MONDO:0004976,amyotrophic lateral sclerosis
DB01114,DB00620,MONDO:0005277,CHEBI:52010,chlorphenamine,CHEBI:9667,Triamcinolone,MONDO:0005277,migraine
DB06764,DB00324,UMLS:C4551678,CHEBI:28674,Tetryzoline,CHEBI:31625,Fluorometholone,EFO:0005752,eye inflammation
DB13155,"DB00741,DB00452,DB00527",MONDO:0004872,CHEBI:4853,Esculin,"['CHEBI:17650', 'CHEBI:7507', 'CHEBI:247956']","['Hydrocortisone', 'Framycetin', 'Cinchocaine']",MONDO:0004872,hemorrhoid
DB00684,DB01234,UMLS:C4551678,CHEBI:28864,Tobramycin,CHEBI:41879,Dexamethasone,EFO:0005752,eye inflammation
DB00684,DB00586,UMLS:C4551678,CHEBI:28864,Tobramycin,CHEBI:47381,Diclofenac,EFO:0005752,eye inflammation
DB13503,DB04209,MONDO:0006723,UNII:877376V2XW,Tyrothricin,CHEBI:41872,Dequalinium,MONDO:0006723,denture stomatitis
DB01114,"DB00201,DB00316",MONDO:0005324,CHEBI:52010,chlorphenamine,"['CHEBI:27732', 'CHEBI:46195']","['Caffeine', 'Acetaminophen']",MONDO:0005324,Hay fever
DB01075,"DB00852,DB00316",MONDO:0005324,CHEBI:4636,Diphenhydramine,"['CHEBI:51209', 'CHEBI:46195']","['Pseudoephedrine', 'Acetaminophen']",MONDO:0005324,Hay fever
DB01597,DB01598,UMLS:C1112209,CHEBI:3697,Cilastatin,CHEBI:471744,Imipenem,UMLS:C1112209,Abdominal Infection
DB01114,DB13800,MONDO:0005324,CHEBI:52010,chlorphenamine,CHEBI:81717,Calcium levulinate,MONDO:0005324,Hay fever
DB02513,"DB09543,DB01744,DB00825",UMLS:C0009938,CHEBI:27607,Thymol,"['CHEBI:31832', 'CHEBI:36773', 'CHEBI:15409']","['Methyl salicylate', 'camphor', 'Levomenthol']",UMLS:C0009938,Contusions
DB06764,DB00324,MONDO:0004768,CHEBI:28674,Tetryzoline,CHEBI:31625,Fluorometholone,MONDO:0004768,keratoconjunctivitis
DB00762,"DB00544,DB00650",UMLS:C4721579,CHEBI:5971,irinotecan hydrochloride (anhydrous),"['CHEBI:46345', 'CHEBI:15640']","['Fluorouracil', 'Leucovorin']",EFO:1001480,metastatic colorectal cancer
DB00388,"DB01114,DB00316",MONDO:0005709,CHEBI:8093,Phenylephrine,"['CHEBI:52010', 'CHEBI:46195']","['chlorphenamine', 'Acetaminophen']",MONDO:0005709,common cold
DB09526,"DB00755,DB00591",MONDO:0000736,CHEBI:17594,Hydroquinone,"['CHEBI:15367', 'CHEBI:5108']","['Tretinoin', 'Fluocinolone']",MONDO:0000736,freckles
